schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
60163313704,College Bridge Academy,Los Angeles,90007,9,12,High,Yes,No,No,Yes,1678,2133,1,High,21.33,17.47479,FALSE
69999953689,Divine Providence Preschool & Kindergarten,Los Angeles,90007,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62271010839,Dr. Theodore T. Alexander Junior Science Center,Los Angeles,90007,K,5,Elementary,Yes,No,No,Yes,3505,5789,2,Elementary,39.45,35.37377,FALSE
62271002112,Frank Lanterman,Los Angeles,90007,6,12,High,No,No,No,Yes,,,,,,,FALSE
62271002800,John Adams Middle,Los Angeles,90007,6,8,Middle,No,Yes,No,Yes,1705,2715,2,Middle,37.2,32.24484,FALSE
62271010882,John W. Mack Elementary,Los Angeles,90007,K,5,Elementary,No,No,No,Yes,5699,5789,0,Elementary,1.55,6.83564,FALSE
62271003446,Lenicia B. Weemes Elementary,Los Angeles,90007,K,5,Elementary,No,No,No,Yes,5504,5789,0,Elementary,4.92,11.16036,FALSE
60939000949,Grand Terrace Elementary,Grand Terrace,92313,K,6,Elementary,No,No,No,Yes,3292,5789,2,Elementary,43.13,38.27036,FALSE
60939012987,Grand Terrace High School at the Ray Abril Junior Edal Complex,Grand Terrace,92313,9,12,High,No,No,No,Yes,1080,2133,2,High,49.37,45.94147,FALSE
60939000957,Terrace Hills Middle,Grand Terrace,92313,7,8,Middle,No,No,No,Yes,1964,2715,1,Middle,27.66,25.94629,FALSE
60939000958,Terrace View Elementary,Grand Terrace,92313,K,6,Elementary,No,Yes,No,Yes,2313,5789,3,Elementary,60.04,55.04052,FALSE
64251006956,Arroyo Secondary Junior High,Valencia,91354,7,8,Middle,No,No,No,No,339,2715,4,Middle,87.51,86.63392,FALSE
63597009193,Charles Helmers Elementary,Valencia,91354,K,6,Elementary,No,No,No,No,1046,5789,4,Elementary,81.93,82.4484,FALSE
64251011320,Rio Norte Junior High,Santa Clarita,91354,7,8,Middle,No,No,No,No,194,2715,5,Middle,92.85,93.09989,FALSE
63597010910,Tesoro del Valle Elementary,Valencia,91354,K,6,Elementary,No,No,No,No,1020,5789,4,Elementary,82.38,82.86603,FALSE
63597012401,West Creek Academy,Valencia,91354,K,6,Elementary,No,No,No,No,335,5789,5,Elementary,94.21,94.48149,FALSE
63153009425,Bernardo Heights Middle,San Diego,92128,6,8,Middle,No,No,No,No,257,2715,5,Middle,90.53,90.40991,FALSE
63153008598,Creekside Elementary,San Diego,92128,K,5,Elementary,No,No,No,No,121,5789,5,Elementary,97.91,97.3476,FALSE
63153001204,Highland Ranch Elementary,San Diego,92128,K,5,Elementary,No,No,No,No,744,5789,4,Elementary,87.15,88.18396,FALSE
63153010006,Morning Creek Elementary,San Diego,92128,K,5,Elementary,No,No,No,No,703,5789,4,Elementary,87.86,89.02112,FALSE
63153010004,Rancho Bernardo High,San Diego,92128,9,12,High,No,No,No,No,106,2133,5,High,95.03,94.78805,FALSE
63153007679,Shoal Creek Elementary,San Diego,92128,K,5,Elementary,No,No,No,No,611,5789,4,Elementary,89.45,90.4905,FALSE
69999953586,Arbor View Montessori,Roseville,95747,PK,1,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63360013046,Barbara Chilton Middle,Roseville,95747,6,8,Middle,No,No,No,No,253,2715,5,Middle,90.68,90.61692,FALSE
63360011004,Blue Oaks Elementary,Roseville,95747,K,5,Elementary,No,No,No,No,469,5789,5,Elementary,91.9,92.69971,FALSE
61149010574,Coyote Ridge Elementary,Roseville,95747,K,5,Elementary,No,No,No,No,1149,5789,4,Elementary,80.15,80.45891,FALSE
61149013755,Creekview Ranch,Roseville,95747,K,8,Elementary,No,No,No,Yes,1626,5789,4,Elementary,71.91,69.41947,FALSE
63360008760,Diamond Creek Elementary,Roseville,95747,K,5,Elementary,No,No,No,No,1168,5789,4,Elementary,79.82,80.06425,FALSE
63360013287,Fiddyment Farm,Roseville,95747,K,5,Elementary,No,No,No,No,991,5789,4,Elementary,82.88,83.46998,FALSE
61149009791,Heritage Oak Elementary,Roseville,95747,K,5,Elementary,No,No,No,No,1027,5789,4,Elementary,82.26,82.73271,FALSE
63360012329,Junction Elementary,Roseville,95747,K,5,Elementary,No,No,No,No,572,5789,5,Elementary,90.12,91.33334,FALSE
