schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
60846000832,Boys Republic High,Chino Hills,91709,9,12,High,No,No,No,No,2061,2133,0,High,3.38,9.80223,FALSE
60846009528,Butterfield Ranch Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,1171,5789,4,Elementary,79.77,79.97529,FALSE
60846010299,Canyon Hills Junior High,Chino Hills,91709,7,8,Middle,No,No,No,No,336,2715,4,Middle,87.62,86.7801,FALSE
60846011737,Chaparral Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,1885,5789,3,Elementary,67.44,63.96162,FALSE
60846010360,Chino Hills High,Chino Hills,91709,9,12,High,No,No,No,No,252,2133,4,High,88.19,86.32913,FALSE
60846010607,Chino Valley Learning Academy,Chino Hills,91709,7,12,High,No,No,No,Yes,,,,,,,FALSE
60846003822,Country Springs Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,259,5789,5,Elementary,95.53,95.42632,FALSE
60846009125,Eagle Canyon Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,904,5789,4,Elementary,84.38,84.96935,FALSE
60846009124,Gerald F. Litel Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,1162,5789,4,Elementary,79.93,80.17582,FALSE
60846000841,Glenmeade Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,2599,5789,3,Elementary,55.1,49.90712,FALSE
60142308662,Exeter Community Day,Exeter,93221,1,12,Other,No,No,No,Yes,,,,,,,FALSE
60142307466,Exeter Independent Study (Alternative),Exeter,93221,K,12,Other,No,No,No,Yes,,,,,,,FALSE
60142301504,Exeter Union High,Exeter,93221,9,12,High,No,No,No,Yes,588,2133,4,High,72.43,67.78395,FALSE
60142301505,Kaweah High,Exeter,93221,9,12,High,No,No,No,Yes,1662,2133,1,High,22.08,18.01795,FALSE
60142301501,Lincoln Elementary,Exeter,93221,K,5,Elementary,No,No,No,Yes,3698,5789,2,Elementary,36.12,32.96707,FALSE
60142301502,Rocky Hill Elementary,Exeter,93221,K,5,Elementary,No,No,No,Yes,3104,5789,2,Elementary,46.38,41.41707,FALSE
69999908248,Sierra View Junior Academy,Exeter,93221,K,10,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60142310336,Wilson Middle,Exeter,93221,6,8,Middle,No,No,No,Yes,1607,2715,2,Middle,40.81,35.27964,FALSE
60927000939,Cold Spring Elementary,Santa Barbara,93108,K,6,Elementary,No,No,No,Yes,21,5789,5,Elementary,99.64,98.76227,FALSE
69999906208,Crane Country Day School,Santa Barbara,93108,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62550003815,Montecito Union,Santa Barbara,93108,K,6,Elementary,No,No,No,Yes,92,5789,5,Elementary,98.41,97.68884,FALSE
69999948576,Our Lady Of Mount Carmel School,Santa Barbara,93108,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999905557,All Hallows Academy,La Jolla,92037,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999944501,Beth Montessori,La Jolla,92037,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005421,Bird Rock Elementary,La Jolla,92037,K,5,Elementary,No,No,No,No,124,5789,5,Elementary,97.86,97.27338,FALSE
69999948492,La Jolla Country Day School,La Jolla,92037,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005495,La Jolla Elementary,La Jolla,92037,K,5,Elementary,No,No,No,No,3,5789,5,Elementary,99.95,99.36606,FALSE
63432005496,La Jolla High,La Jolla,92037,9,12,High,No,No,No,No,141,2133,5,High,93.39,92.35291,FALSE
69999944634,Montessori Institute Of San Diego Child House,La Jolla,92037,PK,6,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005527,Muirlands Middle,La Jolla,92037,6,8,Middle,No,No,No,No,117,2715,5,Middle,95.69,95.46122,FALSE
69999908132,San Diego French American School,La Jolla,92037,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999908799,Stella Maris Academy,La Jolla,92037,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61314001490,Cadwallader Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,1157,5789,4,Elementary,80.01,80.21935,FALSE
61314009366,Dove Hill Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,2734,5789,3,Elementary,52.77,47.49165,FALSE
61314008631,James Franklin Smith Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,244,5789,5,Elementary,95.79,95.71709,FALSE
61314001495,John J. Montgomery Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,3739,5789,2,Elementary,35.41,32.37466,FALSE
61314001497,Laurelwood Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,1275,5789,4,Elementary,77.98,77.40291,FALSE
61314001498,O. B. Whaley Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,3817,5789,2,Elementary,34.06,31.5383,FALSE
61437011452,Ramblewood Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,1262,5789,4,Elementary,78.2,77.71403,FALSE
69999907170,Scholars Academy,San Jose,95121,PK,4,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61182001309,Silver Creek High,San Jose,95121,9,12,High,No,Yes,No,Yes,183,2133,5,High,91.42,89.42716,FALSE
61437001652,Stonegate Elementary,San Jose,95121,K,8,Elementary,No,No,No,Yes,3166,5789,2,Elementary,45.31,40.41897,FALSE
60009910791,Glenn County Regional Occupational Program,Willows,95988,9,12,High,No,(n/a),(n/a),(n/a),,,,,,,FALSE
69100809221,Glenn County Special Education,Willows,95988,K,12,Other,No,No,No,No,,,,,,,FALSE
64271006977,Murdock Elementary,Willows,95988,K,5,Elementary,No,No,No,Yes,4899,5789,1,Elementary,15.37,18.98725,FALSE
60242012983,Walden Academy,Willows,95988,K,8,Elementary,Yes,No,No,Yes,5464,5789,0,Elementary,5.61,11.79565,FALSE
64271007370,Willows Community High,Willows,95988,10,12,High,No,No,No,Yes,1952,2133,0,High,8.49,11.42227,FALSE
64271006978,Willows High,Willows,95988,9,12,High,No,No,No,Yes,1239,2133,2,High,41.91,38.74464,FALSE
64271006979,Willows Intermediate,Willows,95988,6,8,Middle,No,No,No,Yes,2203,2715,1,Middle,18.86,19.47145,FALSE
63384010358,Cesar Chavez Intermediate,Sacramento,95822,4,6,Middle,No,No,No,Yes,,,,,,,FALSE
63384005237,Edward Kemble Elementary,Sacramento,95822,K,3,Elementary,No,No,No,Yes,,,,,,,FALSE
63384005246,H. W. Harkness Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,4577,5789,1,Elementary,20.94,22.61608,FALSE
63384005248,Hollywood Park Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5618,5789,0,Elementary,2.95,9.09362,FALSE
69999906796,Holy Spirit Parish School,Sacramento,95822,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63384005254,John Bidwell Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,3901,5789,2,Elementary,32.61,30.36883,FALSE
63384005255,John Cabrillo Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5272,5789,0,Elementary,8.93,14.54485,FALSE
63384005256,John D. Sloat Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5727,5789,0,Elementary,1.07,6.05647,FALSE
63384011917,John Morse Therapeutic Center,Sacramento,95822,3,8,Middle,No,No,No,Yes,,,,,,,FALSE
63384010040,Leonardo Da Vinci,Sacramento,95822,K,8,Elementary,No,No,No,No,1195,5789,4,Elementary,79.36,79.56248,FALSE
63375005197,Alvarado Intermediate,Rowland Heights,91748,7,8,Middle,No,No,No,Yes,602,2715,4,Middle,77.83,74.85397,FALSE
63375005198,Blandford Elementary,Rowland Heights,91748,K,6,Elementary,No,No,No,No,777,5789,4,Elementary,86.58,87.41369,FALSE
69999953699,Elite Open School,Rowland Heights,91748,5,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999953700,Elite Open School,Rowland Heights,91748,5,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999906424,Fairway Education Center,Rowland Heights,91748,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63375013361,Farjardo - La Seda Preschool,Rowland Heights,91748,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
69999906871,Ivy League School,Rowland Heights,91748,K,11,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63375005203,Jellick Elementary,Rowland Heights,91748,K,6,Elementary,No,No,No,Yes,3624,5789,2,Elementary,37.4,33.87699,FALSE
63375005204,John A. Rowland High,Rowland Heights,91748,9,12,High,No,No,No,No,163,2133,5,High,92.36,90.87787,FALSE
63375005205,Killian Elementary,Rowland Heights,91748,K,6,Elementary,No,No,No,No,1240,5789,4,Elementary,78.58,78.40882,FALSE
62865004419,California Elementary,Orange,92867,K,6,Elementary,No,No,No,Yes,4066,5789,1,Elementary,29.76,28.41563,FALSE
62865004430,Handy Elementary,Orange,92867,K,6,Elementary,No,No,No,Yes,2814,5789,3,Elementary,51.39,46.06902,FALSE
62865004441,Orange High,Orange,92867,9,12,High,No,No,No,Yes,1297,2133,2,High,39.19,36.68648,FALSE
69999907218,Orange Lutheran High School,Orange,92867,9,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62865004448,Richland Continuation High,Orange,92867,9,12,High,No,No,No,No,1994,2133,0,High,6.52,10.77009,FALSE
60227214331,Tomorrow's Leadership Collaborative (TLC) Charter,Orange,92867,K,5,Elementary,Yes,No,No,Yes,,,,,,,FALSE
62865004459,Yorba Middle,Orange,92867,6,8,Middle,No,No,No,Yes,1430,2715,2,Middle,47.33,40.59838,FALSE
69999953645,Central Valley Christian Molokan School,Kerman,93630,PK,4,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61949008865,Enterprise High,Kerman,93630,7,12,High,No,No,No,Yes,1836,2133,1,High,13.92,13.3317,FALSE
61949012756,Goldenrod Elementary,Kerman,93630,K,6,Elementary,No,No,No,Yes,3059,5789,2,Elementary,47.16,42.11236,FALSE
69999906924,Kerman Christian School,Kerman,93630,PK,6,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61949008866,Kerman High,Kerman,93630,9,12,High,No,No,No,Yes,720,2133,3,High,66.24,60.728,FALSE
61949008868,Kerman Middle,Kerman,93630,7,8,Middle,No,No,No,Yes,1726,2715,2,Middle,36.43,31.59943,FALSE
61949008867,Kerman-Floyd Elementary,Kerman,93630,K,6,Elementary,No,No,No,Yes,3975,5789,2,Elementary,31.34,29.43568,FALSE
61949010495,Liberty Elementary,Kerman,93630,K,6,Elementary,No,No,No,Yes,2489,5789,3,Elementary,57,52.07051,FALSE
61949008869,Sun Empire Elementary,Kerman,93630,K,6,Elementary,No,No,No,Yes,1855,5789,3,Elementary,67.96,64.69927,FALSE
60681003925,Blossom Valley Elementary,El Cajon,92021,K,5,Elementary,No,No,No,No,1033,5789,4,Elementary,82.16,82.65938,FALSE
60681000606,Bostonia Language Academy,El Cajon,92021,K,5,Elementary,No,No,No,Yes,2144,5789,3,Elementary,62.96,58.61906,FALSE
60681008590,Cajon Valley Home,El Cajon,92021,K,8,Elementary,No,No,No,No,,,,,,,FALSE
60681000609,Crest Elementary,El Cajon,92021,K,5,Elementary,No,No,No,No,2437,5789,3,Elementary,57.9,52.76798,FALSE
60238614301,Diego Valley East Public Charter,El Cajon,92021,K,12,Other,Yes,No,No,(n/a),,,,,,,FALSE
61623002018,El Cajon Valley High,El Cajon,92021,9,12,High,No,No,No,Yes,1576,2133,1,High,26.11,21.7371,FALSE
60681000615,Greenfield Middle,El Cajon,92021,6,8,Middle,No,No,No,Yes,2257,2715,1,Middle,16.87,18.37225,FALSE
60249514409,Kidinnu Academy,El Cajon,92021,K,5,Elementary,Yes,No,No,Yes,,,,,,,FALSE
60681011751,Los Coches Creek Middle,El Cajon,92021,6,8,Middle,No,No,No,No,817,2715,3,Middle,69.91,63.89499,FALSE
60681000620,Magnolia Elementary,El Cajon,92021,K,5,Elementary,No,No,No,Yes,5517,5789,0,Elementary,4.7,10.8588,FALSE
60003606335,Discovery High,Sacramento,95834,9,12,High,No,No,No,No,1833,2133,1,High,14.06,13.4974,FALSE
60133208818,Garden Valley Elementary,Sacramento,95834,K,6,Elementary,No,No,No,Yes,4355,5789,1,Elementary,24.77,25.07017,FALSE
69999948512,Little Blossom Montessori School,Sacramento,95834,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999953905,Natomas Christian School Real Life Church,Sacramento,95834,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60003603755,Natomas High,Sacramento,95834,9,12,High,No,No,No,Yes,1357,2133,2,High,36.38,34.09277,FALSE
60003611735,Natomas Pacific Pathways Prep,Sacramento,95834,9,12,High,Yes,Yes,No,No,150,2133,5,High,92.97,91.852,FALSE
60003614043,Natomas Pacific Pathways Prep Elementary,Sacramento,95834,K,5,Elementary,Yes,No,No,No,1729,5789,4,Elementary,70.13,67.33485,FALSE
60003612523,Natomas Pacific Pathways Prep Middle,Sacramento,95834,6,8,Middle,Yes,Yes,No,No,496,2715,4,Middle,81.73,79.484,FALSE
60003614188,Paso Verde,Sacramento,95834,K,7,Elementary,No,No,No,No,1735,5789,4,Elementary,70.03,67.18373,FALSE
60228511951,SAVA - Sacramento Academic and Vocational Academy,Sacramento,95834,7,12,High,Yes,No,No,Yes,1544,2133,1,High,27.61,23.80396,FALSE
60001709098,Apple Valley High,Apple Valley,92308,9,12,High,No,No,No,Yes,1159,2133,2,High,45.66,42.73776,FALSE
60001713290,Apple Valley Unified Preschool Special Education,Apple Valley,92308,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
60001708588,High Desert Premier Academy,Apple Valley,92308,K,12,Other,No,No,No,Yes,,,,,,,FALSE
60001709100,Mariana Academy,Apple Valley,92308,K,8,Elementary,No,No,No,Yes,4468,5789,1,Elementary,22.82,23.70922,FALSE
60001701149,Rio Vista School of Applied Learning,Apple Valley,92308,K,6,Elementary,No,No,No,Yes,2531,5789,3,Elementary,56.28,51.23406,FALSE
60001709272,Sandia Elementary,Apple Valley,92308,K,8,Elementary,No,No,No,Yes,5446,5789,0,Elementary,5.93,12.04456,FALSE
60001711747,Sitting Bull Academy,Apple Valley,92308,K,8,Elementary,No,No,No,Yes,2618,5789,3,Elementary,54.78,49.58227,FALSE
60001711122,Vanguard Preparatory,Apple Valley,92308,K,8,Elementary,No,No,No,Yes,2220,5789,3,Elementary,61.65,56.67572,FALSE
62271007755,Fishburn Avenue Elementary,Maywood,90270,K,5,Elementary,No,No,No,Yes,3848,5789,2,Elementary,33.53,31.025,FALSE
62271003078,Heliotrope Avenue Elementary,Maywood,90270,K,5,Elementary,No,No,No,Yes,4014,5789,2,Elementary,30.66,28.9974,FALSE
60249614410,KIPP Pueblo Unido,Maywood,90270,K,8,Elementary,Yes,No,No,Yes,,,,,,,FALSE
62271003144,Loma Vista Elementary,Maywood,90270,K,5,Elementary,No,No,No,Yes,3995,5789,2,Elementary,30.99,29.22097,FALSE
62271010889,Maywood Academy High,Maywood,90270,9,12,High,No,No,No,Yes,1061,2133,3,High,50.26,46.68206,FALSE
62271014102,Maywood Center for Enriched Studies,Maywood,90270,6,12,High,No,Yes,No,Yes,1136,2133,2,High,46.74,43.67593,FALSE
69999906825,Maywood Christian School,Maywood,90270,K,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62271010883,Maywood Elementary,Maywood,90270,K,5,Elementary,No,No,No,Yes,2538,5789,3,Elementary,56.16,51.10218,FALSE
69999948662,St Rose Of Lima School,Maywood,90270,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63738006315,Bayside STEAM Academy,Imperial Beach,91932,K,6,Elementary,No,No,No,Yes,5407,5789,0,Elementary,6.6,12.72874,FALSE
63738006317,Central Elementary,Imperial Beach,91932,K,6,Elementary,No,No,No,Yes,5497,5789,0,Elementary,5.04,11.31792,FALSE
63738006320,Imperial Beach Charter,Imperial Beach,91932,K,8,Elementary,Yes,No,No,Yes,2557,5789,3,Elementary,55.83,50.78458,FALSE
63864006486,Mar Vista Senior High,Imperial Beach,91932,9,12,High,No,No,No,Yes,1205,2133,2,High,43.51,40.27565,FALSE
63738006323,Oneonta Elementary,Imperial Beach,91932,K,6,Elementary,No,No,No,Yes,4845,5789,1,Elementary,16.31,19.47408,FALSE
63738013370,VIP Village Preschool,Imperial Beach,91932,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
60636000554,Arthur F. Corey Elementary,Buena Park,90620,K,6,Elementary,No,No,No,Yes,2541,5789,3,Elementary,56.11,51.03431,FALSE
60636000553,Buena Park Junior High,Buena Park,90620,7,8,Middle,No,No,No,Yes,1280,2715,3,Middle,52.85,45.59979,FALSE
60807000773,Buena Terra Elementary,Buena Park,90620,K,6,Elementary,No,No,No,No,830,5789,4,Elementary,85.66,86.3078,FALSE
69999942080,Childrens Learning Center,Buena Park,90620,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60807000776,Glen H. Dysinger Senior Elementary,Buena Park,90620,K,6,Elementary,No,No,No,No,1164,5789,4,Elementary,79.89,80.10681,FALSE
63603009194,Holder Elementary,Buena Park,90620,K,6,Elementary,No,No,No,No,1878,5789,3,Elementary,67.56,64.10908,FALSE
60263000175,Hope,Buena Park,90620,7,12,High,No,No,No,No,,,,,,,FALSE
60807000781,Raymond Temple Elementary,Buena Park,90620,K,6,Elementary,No,No,No,No,1915,5789,3,Elementary,66.92,63.21824,FALSE
60807000780,San Marino Elementary,Buena Park,90620,K,6,Elementary,No,No,No,Yes,1753,5789,3,Elementary,69.72,66.83421,FALSE
69999953997,Speech & Language Development Center,Buena Park,90620,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62007002398,Burns Valley,Clearlake,95422,K,7,Elementary,No,No,No,Yes,5042,5789,1,Elementary,12.9,17.35714,FALSE
69101413724,Clearlake Creativity,Clearlake,95422,K,12,Other,No,No,No,Yes,,,,,,,FALSE
62007013894,Konocti Education Center,Clearlake,95422,4,12,Other,No,Yes,No,Yes,,,,,,,FALSE
62007010228,Pomo,Clearlake,95422,K,7,Elementary,No,No,No,Yes,5745,5789,0,Elementary,0.76,5.42959,FALSE
62007003176,Richard H. Lewis Alternative,Clearlake,95422,K,12,Other,No,No,No,Yes,,,,,,,FALSE
60797005777,Central High East Campus,Fresno,93722,9,12,High,No,No,No,Yes,1089,2133,2,High,48.95,45.6519,FALSE
60797014455,Central Online Home,Fresno,93722,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
60797009345,Central Unified Alternative/Opportunity,Fresno,93722,K,12,Other,No,No,No,Yes,,,,,,,FALSE
60797007667,El Capitan Middle,Fresno,93722,7,8,Middle,No,No,No,Yes,1956,2715,1,Middle,27.96,26.09737,FALSE
61455008842,Figarden Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,2774,5789,3,Elementary,52.08,46.82497,FALSE
60797013825,Hanh Phan Tilley Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,4808,5789,1,Elementary,16.95,19.91418,FALSE
60797010786,James K. Polk Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,2118,5789,3,Elementary,63.41,59.17909,FALSE
60797004485,John Steinbeck Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,4184,5789,1,Elementary,27.72,27.03725,FALSE
61455007720,Lawless Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,4116,5789,1,Elementary,28.9,27.86945,FALSE
60797009346,McKinley Elementary,Fresno,93722,K,6,Elementary,No,No,No,Yes,3185,5789,2,Elementary,44.98,40.02696,FALSE
60002811039,Alamos Elementary,Murrieta,92563,K,5,Elementary,No,No,No,No,489,5789,5,Elementary,91.55,92.36828,FALSE
60002909509,Alta Murrieta Elementary,Murrieta,92563,K,5,Elementary,No,No,No,Yes,978,5789,4,Elementary,83.11,83.76994,FALSE
60002811040,Bella Vista Middle,Murrieta,92563,6,8,Middle,No,No,No,No,500,2715,4,Middle,81.58,79.24395,FALSE
60002910354,Daniel N. Buchanan Elementary,Murrieta,92563,K,5,Elementary,No,No,No,Yes,1493,5789,4,Elementary,74.21,72.40588,FALSE
60002912243,Dorothy McElhinney Middle,Murrieta,92563,6,8,Middle,No,No,No,No,377,2715,4,Middle,86.11,84.59615,FALSE
60002911921,Lisa J. Mails Elementary,Murrieta,92563,K,5,Elementary,No,No,No,No,1237,5789,4,Elementary,78.63,78.51672,FALSE
60002911239,Monte Vista Elementary,Murrieta,92563,K,5,Elementary,No,No,No,Yes,1938,5789,3,Elementary,66.52,62.58521,FALSE
60002911241,Murrieta Canyon Academy,Murrieta,92563,K,12,Other,No,No,No,No,,,,,,,FALSE
62454011715,Oak Meadows Elementary,Murrieta,92563,K,5,Elementary,No,No,No,No,1632,5789,4,Elementary,71.81,69.20063,FALSE
60002909511,Rail Ranch Elementary,Murrieta,92563,K,5,Elementary,No,No,No,Yes,1377,5789,4,Elementary,76.21,75.07371,FALSE
60837011853,Academy for Change,Chico,95926,6,12,High,No,No,No,Yes,,,,,,,FALSE
60161514213,Achieve Charter High,Chico,95926,9,12,High,Yes,No,No,(n/a),,,,,,,FALSE
60837000812,Bidwell Junior High,Chico,95926,6,8,Middle,No,No,No,Yes,942,2715,3,Middle,65.3,58.49603,FALSE
60217708682,Blue Oak Charter,Chico,95926,K,8,Elementary,Yes,No,No,Yes,3791,5789,2,Elementary,34.51,31.84391,FALSE
60837012830,Center for Alternative Learning,Chico,95926,6,12,High,No,No,No,Yes,,,,,,,FALSE
60837000815,Chico High,Chico,95926,9,12,High,No,No,No,No,607,2133,4,High,71.54,66.82711,FALSE
60837000814,Chico Junior High,Chico,95926,6,8,Middle,No,No,No,Yes,858,2715,3,Middle,68.4,62.42694,FALSE
69999906002,Chico Oaks Adventist School,Chico,95926,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60190305717,Children's Community Charter,Chico,95926,K,8,Elementary,Yes,No,No,(n/a),1082,5789,4,Elementary,81.31,81.82779,FALSE
60837000816,Citrus Avenue Elementary,Chico,95926,K,5,Elementary,No,No,No,Yes,5308,5789,0,Elementary,8.31,14.03673,FALSE
69999935079,Almondale Academy,Orangevale,95662,K,11,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60254114490,American River Collegiate Academy,Orangevale,95662,,,,Yes,No,No,(n/a),,,,,,,FALSE
63462005760,Andrew Carnegie Middle,Orangevale,95662,6,8,Middle,No,No,No,No,923,2715,3,Middle,66,59.54614,FALSE
63462005761,Casa Roble Fundamental High,Orangevale,95662,9,12,High,No,No,No,No,1055,2133,3,High,50.54,46.88367,FALSE
60158713910,Golden Valley Orchard,Orangevale,95662,K,8,Elementary,Yes,No,No,(n/a),2348,5789,3,Elementary,59.44,54.55419,FALSE
60166911902,Golden Valley River,Orangevale,95662,K,8,Elementary,Yes,No,No,(n/a),2603,5789,3,Elementary,55.04,49.85755,FALSE
63462005782,Green Oaks Fundamental Elementary,Orangevale,95662,K,5,Elementary,No,No,No,No,897,5789,4,Elementary,84.51,85.15536,FALSE
63462005808,Louis Pasteur Fundamental Middle,Orangevale,95662,6,8,Middle,No,No,No,No,867,2715,3,Middle,68.07,61.96156,FALSE
63462005803,Oakview Community Elementary,Orangevale,95662,K,5,Elementary,No,No,No,No,943,5789,4,Elementary,83.71,84.32575,FALSE
69999948570,Odyssey Learning Center,Orangevale,95662,2,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62664007575,American Canyon Middle,American Canyon,94589,6,8,Middle,No,No,No,No,803,2715,4,Middle,70.42,64.57877,FALSE
64074006721,Dan Mini Elementary,Vallejo,94589,K,5,Elementary,No,No,No,Yes,4396,5789,1,Elementary,24.06,24.60472,FALSE
62664004017,Donaldson Way Elementary,American Canyon,94589,K,5,Elementary,No,No,No,Yes,2135,5789,3,Elementary,63.12,58.77194,FALSE
60248514376,Elite Public,Vallejo,94589,K,12,Other,Yes,No,No,Yes,,,,,,,FALSE
64074006723,Elsa Widenmann Elementary,Vallejo,94589,K,5,Elementary,No,No,No,Yes,5398,5789,0,Elementary,6.75,12.8054,FALSE
60253014479,Griffin Academy High,Vallejo,94589,,,,Yes,No,No,(n/a),,,,,,,FALSE
64074006720,Johnston Cooper Elementary,Vallejo,94589,K,5,Elementary,No,No,No,Yes,5486,5789,0,Elementary,5.23,11.51856,FALSE
64074006732,Loma Vista Environmental Science Academy,Vallejo,94589,K,8,Elementary,No,Yes,No,Yes,5697,5789,0,Elementary,1.59,6.86927,FALSE
60178308398,Mare Island Technology Academy,Vallejo,94589,6,8,Middle,Yes,No,No,Yes,1339,2715,3,Middle,50.68,43.5631,FALSE
60248310681,MIT Academy,Vallejo,94589,9,12,High,Yes,No,No,Yes,419,2133,4,High,80.36,76.86386,FALSE
60002009285,Alisal Elementary,Pleasanton,94566,K,5,Elementary,No,No,No,No,680,5789,4,Elementary,88.25,89.32135,FALSE
60002009282,Amador Valley High,Pleasanton,94566,9,12,High,No,No,No,No,52,2133,5,High,97.56,97.25611,FALSE
60002009289,Harvest Park Middle,Pleasanton,94566,6,8,Middle,No,No,No,No,93,2715,5,Middle,96.57,96.44735,FALSE
60002013494,Harvest Park Preschool Center,Pleasanton,94566,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
69999907135,Lighthouse Baptist School,Pleasanton,94566,K,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999953887,Montessori School Of Pleasanton,Pleasanton,94566,PK,4,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60002008445,Phoebe Apperson Hearst Elementary,Pleasanton,94566,K,5,Elementary,No,No,No,No,292,5789,5,Elementary,94.96,94.96028,FALSE
60002009682,Pleasanton Middle,Pleasanton,94566,6,8,Middle,No,No,No,Yes,180,2715,5,Middle,93.37,93.68716,FALSE
60002009287,Valley View Elementary,Pleasanton,94566,K,5,Elementary,No,No,No,Yes,1314,5789,4,Elementary,77.3,76.70389,FALSE
60002009280,Village High,Pleasanton,94566,9,12,High,No,No,No,Yes,1415,2133,2,High,33.66,30.78538,FALSE
62847004387,Arroyo Elementary,Ontario,91764,K,6,Elementary,No,No,No,Yes,4041,5789,2,Elementary,30.2,28.67547,FALSE
62847004388,Berlyn Elementary,Ontario,91764,K,6,Elementary,No,No,No,Yes,4865,5789,1,Elementary,15.96,19.34512,FALSE
62847009417,Central Language Academy,Ontario,91764,K,8,Elementary,No,Yes,No,Yes,3668,5789,2,Elementary,36.64,33.35467,FALSE
60816007260,Chaffey Community Day,Ontario,91764,9,12,High,No,No,No,Yes,,,,,,,FALSE
60816013110,Chaffey District Online High,Ontario,91764,9,12,High,No,No,Yes,No,422,2133,4,High,80.22,76.78607,FALSE
62847004390,Corona Elementary,Ontario,91764,K,6,Elementary,No,No,No,Yes,3287,5789,2,Elementary,43.22,38.35762,FALSE
62847004394,Del Norte Elementary,Ontario,91764,K,6,Elementary,No,No,No,Yes,3840,5789,2,Elementary,33.67,31.17112,FALSE
62847004395,Edison Elementary,Ontario,91764,K,8,Elementary,No,Yes,No,Yes,1435,5789,4,Elementary,75.21,73.93485,FALSE
62847007806,Lincoln Elementary,Ontario,91764,K,6,Elementary,No,No,No,Yes,3003,5789,2,Elementary,48.13,43.06795,FALSE
