schoolid,schoolName,url,street_address,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,districtName,countyName,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,rankMovement,numberOfStudents,teachersFulltime,isPrivate
069999953620,Bright Children Montessori Academy,https://www.schooldigger.com/go/CA/schools/9999953620/school.aspx,2216 Fremont Ave #18,Alhambra,91803,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,Los Angeles County,,,,,,,,,,True
060015310935,Emery Park Elementary,https://www.schooldigger.com/go/CA/schools/0015310935/school.aspx,2821 W. Commonwealth Ave.,Alhambra,91803,K,8,Elementary,No,No,No,Yes,Alhambra Unified,Los Angeles County,2448,5789,3,Elementary,57.71,52.66919,-349,449,,False
060015310936,Fremont Elementary,https://www.schooldigger.com/go/CA/schools/0015310936/school.aspx,2001 S. Elm St.,Alhambra,91803,K,8,Elementary,No,No,No,Yes,Alhambra Unified,Los Angeles County,3152,5789,2,Elementary,45.55,40.68517,-388,566,,False
069999942146,Granada Park Umc Nursery School And Kindergarten,https://www.schooldigger.com/go/CA/schools/9999942146/school.aspx,1850 W Hellman Ave,Alhambra,91803,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,Los Angeles County,,,,,,,,,,True
060015310939,Marguerita Elementary,https://www.schooldigger.com/go/CA/schools/0015310939/school.aspx,1603 S. Marguerita Ave.,Alhambra,91803,K,8,Elementary,No,No,No,Yes,Alhambra Unified,Los Angeles County,2015,5789,3,Elementary,65.19,60.96458,-56,842,,False
069999907988,Ramona Convent Secondary School,https://www.schooldigger.com/go/CA/schools/9999907988/school.aspx,1701 W Ramona Rd,Alhambra,91803,9,12,Private,(n/a),(n/a),(n/a),(n/a),,Los Angeles County,,,,,,,,,,True
060015310943,Ramona Elementary,https://www.schooldigger.com/go/CA/schools/0015310943/school.aspx,509 W. Norwood Pl.,Alhambra,91803,K,8,Elementary,No,No,No,Yes,Alhambra Unified,Los Angeles County,1838,5789,3,Elementary,68.25,65.14846,-228,835,,False
069999948666,St Thomas More School,https://www.schooldigger.com/go/CA/schools/9999948666/school.aspx,2510 S Fremont Ave,Alhambra,91803,K,8,Private,(n/a),(n/a),(n/a),(n/a),,Los Angeles County,,,,,,,,,,True
063432005416,Bay Park Elementary,https://www.schooldigger.com/go/CA/schools/3432005416/school.aspx,2433 Denver St.,San Diego,92110,K,5,Elementary,No,No,No,No,San Diego Unified,San Diego County,643,5789,4,Elementary,88.89,90.01557,164,540,,False
063432005447,Dewey Elementary,https://www.schooldigger.com/go/CA/schools/3432005447/school.aspx,3251 Rosecrans St.,San Diego,92110,K,4,Elementary,No,No,No,Yes,San Diego Unified,San Diego County,1732,5789,4,Elementary,70.08,67.24674,-578,360,,False
063432012534,iHigh Virtual Academy,https://www.schooldigger.com/go/CA/schools/3432012534/school.aspx,3939 Conde St.,San Diego,92110,9,12,High,No,No,Yes,Yes,San Diego Unified,San Diego County,,,,,,,,42,,False
