,city,violent_crime_rate,property_crime_rate
142,Fort Jones,0,23.49
143,Fortuna,2.81,42.21
144,Foster City,0.43,11.15
145,Fountain Valley,1.51,17.94
146,Fowler,8.12,26.19
147,Fremont,1.25,17.18
148,Fresno,4.64,41.12
149,Fullerton,2.42,22.92
150,Galt,2.84,23.27
151,Gardena,4.58,23.06
152,Garden Grove,2.31,17.59
153,Gilroy,3.76,28.35
154,Glendale,0.94,15.59
155,Glendora,1.29,24.19
156,Goleta,1.14,13.76
157,Gonzales,4.37,10.17
158,Grand Terrace,1.45,19.99
159,Grass Valley,8.53,52.91
160,Greenfield,5.36,18.78
161,Gridley,13.42,25.47
162,Grover Beach,3.85,24.01
163,Guadalupe,1.38,9.37
164,Gustine,6,28.41
165,Hanford,5.56,33.87
166,Hawaiian Gardens,3.8,12.63
167,Hawthorne,7.59,29.86
168,Hayward,3.95,31.78
169,Healdsburg,1.64,20.57
170,Hemet,5.22,40.73
171,Hercules,1.08,11.43
172,Hermosa Beach,1.86,27.32
173,Hesperia,3.2,24.87
174,Hidden Hills,0,6.27
175,Highland,4.69,23.99
176,Hillsborough,0.09,9.05
177,Hollister,3.68,13.47
178,Holtville,3.98,14.26
179,Hughson,1.55,20.17
180,Huntington Beach,1.96,21.28
181,Huntington Park,6.92,30.58
182,Huron,10.6,21.35
183,Imperial,0.3,2.78
184,Imperial Beach,4.11,15.28
185,Indian Wells,1.15,23.03
186,Indio,5.51,26.14
187,Industry,351.22,"5,107.32"
188,Inglewood,6.99,24.46
189,Ione,0.89,8.86
190,Irvine,0.49,12.53
191,Irwindale,12.62,118.51
192,Isleton,2.42,27.88
193,Jackson,3.75,24.92
194,Jurupa Valley,2.91,26.2
195,Kensington,0.38,8.71
196,Kerman,2.61,31.5
197,King City,4.12,18.22
198,Kingsburg,2.89,27.04
199,La Cañada Flintridge,0.87,14.83
200,Lafayette,0.67,17.31
201,Laguna Beach,2.74,19.77
202,Laguna Hills,1.45,14.21
203,Laguna Niguel,1.12,8.52
204,Laguna Woods,0.36,7.16
205,La Habra,1.69,16.93
206,La Habra Heights,1.47,8.99
207,Lake Elsinore,2.18,28.33
208,Lake Forest,1.3,8.55
209,Lakeport,3.57,70.33
210,Lakewood,2.48,21.34
211,La Mesa,3.53,26.85
212,La Mirada,1.81,12.89
213,Lancaster,5.56,22.85
214,La Palma,0.75,15.46
215,La Puente,3.35,10.84
216,La Quinta,2.19,33.31
217,La Verne,1.43,25.57
218,Lawndale,4.71,11.94
219,Lemon Grove,4.75,19.6
220,Lemoore,4.74,26.32
221,Lincoln,0.37,10.11
222,Lindsay,3.08,18.27
223,Livermore,2.74,17.42
