"zip","rank","rankOf","rankStars","rankStatewidePercentage","averageStandardScore","has_elementary","has_middle","has_high"
"91202","765","3545.66667","4","75.94333","72.9418","1","1","1"
"91203","3410","5789","2","41.1","36.68815","1","0","0"
"91204","2047","5789","3","64.64","60.38768","1","0","0"
"91205","1803.6","5057.8","3.2","64.138","60.21002","1","0","1"
"91206","1458.2","3828.2","3","57.078","53.03798","1","1","1"
"91208","1061","5789","4","81.67","81.97755","1","0","0"
"91214","510.5","4570.33333","4.5","89.72667","89.58088","1","0","1"
"91301","819.8","4443","4.2","81.21","79.34269","1","1","1"
"91303","3339.42857","4744.42857","1.57143","29.29143","27.9607","1","0","1"
"91304","2603","5276.66667","2.33333","47.58","46.56266","1","1","0"
"91306","3227.57143","4471.57143","1.28571","28.33571","28.71144","1","1","0"
"91311","1452.4","3711.8","2.8","56.4","52.30153","1","1","1"
"91316","1169.66667","5789","4.33333","79.79667","78.29392","1","0","0"
"91320","1009.875","4947.75","4.125","80.37375","79.04295","1","1","1"
"91321","1448.42857","4827.57143","3.71429","72.22429","69.76025","1","1","1"
"91324","2171.2","4559.4","2.6","52.974","52.42045","1","1","0"
"91325","1671.33333","5179.66667","3.33333","68.1","64.27423","1","0","1"
"91326","731","5789","4.25","87.375","87.90757","1","0","0"
"91331","3023.77778","4293.44444","1.44444","28.52556","28.03715","1","1","1"
"91335","3356","4570.33333","1.66667","29.89833","29.86443","1","0","1"
"91340","2315.25","3504","1.75","34.11","33.68556","1","0","1"
"91342","2942.25","4875","1.875","37.4775","35.84808","1","0","1"
"91343","3417.14286","4305.28571","1.14286","21.54714","21.71995","1","1","1"
"91344","1831.83333","4667.33333","2.83333","57.27333","53.95035","1","1","1"
"91350","1561.125","5332","3.25","66.95625","65.00954","1","0","1"
"91352","2451.44444","4228.77778","2.11111","42.88222","40.2464","1","1","1"
"91354","586.8","4559.4","4.4","87.776","87.90595","1","1","0"
"91355","711.375","3961","4.125","82.39375","81.4676","1","0","1"
"91356","2123.5","5020.5","3","60.47","58.43919","1","1","0"
"91360","1870.16667","5789","3.5","67.69333","66.17988","1","0","1"
"91362","1283.66667","4155","3.33333","66.91167","66.22719","1","1","1"
"91367","1095.6","4443","3.8","76.918","75.21531","1","1","1"
"91384","1397.5","5020.5","3.75","72.1125","69.21904","1","1","1"
"91387","1558.25","5789","3.5","73.0825","71.22729","1","0","0"
"91401","2554.33333","4570.33333","1.83333","37.18667","35.81829","1","0","1"
"91402","3338.88889","4635","1.33333","27","26.52557","1","1","1"
"91403","1119","4252","3.5","71.055","67.23868","1","1","0"
"91405","3108.875","4490.75","1.875","32.7075","32.63083","1","1","1"
"91406","2782.25","3961","1.875","38.81125","38.1531","1","0","1"
"91411","2002.33333","3545.66667","2","39.12167","39.12334","1","1","1"
"91423","1056","4764.33333","4","76.61667","74.45913","1","1","0"
"91501","1214.5","5789","4","79.02","78.91317","1","0","0"
"91502","591","2133","4","72.29","67.72183","0","0","1"
"91504","1104.33333","4764.33333","4","78.59667","77.20382","1","1","0"
"91505","815.66667","4667.33333","4","82.32333","81.63298","1","1","1"
"91506","961.33333","2327","3","57.60667","54.09288","0","1","1"
"91601","2434.66667","3961","1.83333","37.915","36.00473","1","0","1"
"91604","605","5789","4","89.55","90.74278","1","0","0"
"91605","3891.57143","5349.85714","1.42857","28.10714","27.57711","1","1","0"
"91606","3016.33333","5276.66667","2.16667","40.97833","39.05933","1","1","0"
"91607","1259","5789","4","78.25","76.07427","1","0","0"
"91702","2718.11111","4293.44444","1.44444","33.86333","31.96399","1","1","1"
