name,county_name,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90020,Los Angeles,Los Angeles,2927480,49068,76983,33220,3.8%,48821,51511,50154,29806,16396,3640,4737,3666,1964,1424,347,618,39189,34671.1,34.4,31.5%,10.3%,13.2%,4.8%,18595,633700
90022,Los Angeles,Commerce; East Los Angeles; Monterey Park,11348382,46051,59342,16949,1.4%,40927,46428,52859,36569,17603,4321,5204,3312,2025,1937,558,246,67014,15294.3,32.6,6.9%,1.9%,16.7%,9.3%,18421,416900
90023,Los Angeles,Commerce; East Los Angeles; Los Angeles,10940489,42972,54607,15094,1.9%,44188,44057,49071,24664,11691,3333,3458,2052,1238,1096,290,224,46680,11050.8,31.4,4.8%,1.8%,22.1%,7.6%,12216,427300
90024,Los Angeles,Los Angeles,7605358,65855,135393,46935,18.0%,11634,76830,112377,95058,16515,4474,2346,1907,1375,2360,1081,2972,51627,17581.5,22.6,33.6%,39.0%,7.9%,7.9%,19519,1184100
90025,Los Angeles,Los Angeles,6654367,87280,117163,57137,13.9%,53028,99444,93072,51424,22015,3257,3256,2971,2807,4412,2248,3064,46883,18247.6,34.0,40.9%,27.9%,5.8%,4.4%,23386,867400
90026,Los Angeles,Los Angeles,10940041,65269,91250,36374,8.5%,51379,74513,63609,39299,26045,5379,5003,4229,3390,3967,1873,2204,68906,16313.1,34.7,28.6%,11.8%,16.1%,6.4%,27689,838400
90027,Los Angeles,Los Angeles,21066614,66947,103501,52257,10.0%,40000,79448,68200,28833,21668,4858,3924,3125,2713,3369,1517,2162,44770,5504.1,38.1,35.7%,18.9%,8.6%,6.0%,23899,1146900
90028,Los Angeles,Los Angeles,3947879,45499,67298,39513,4.8%,43477,61608,47763,13316,16403,5208,3494,2760,1772,1877,508,784,29774,19533.1,36.3,35.3%,12.8%,14.1%,8.1%,20139,792800
90029,Los Angeles,Los Angeles,3526894,41998,60177,25449,3.8%,47232,53998,38949,19176,13997,4222,3710,2411,1417,1334,372,531,36668,26927.3,36.2,22.9%,7.2%,17.9%,7.8%,15365,719900
90031,Los Angeles,Los Angeles,8944278,48479,70691,22620,4.3%,55909,60273,50502,25827,11739,2934,3031,2146,1174,1401,546,507,39916,11558.4,35.6,15.4%,6.4%,17.1%,8.5%,12387,550000
90032,Los Angeles,East Los Angeles; Los Angeles,12347321,57225,74960,22803,5.4%,32169,56379,69974,41495,13493,2887,3074,2400,1679,1820,909,724,48031,10075.0,34.0,14.9%,5.3%,16.0%,8.6%,14274,504700
90033,Los Angeles,Los Angeles,8462418,38266,50344,15210,1.6%,28158,40739,45015,23514,13303,4402,3695,2334,1363,1044,248,217,49155,15044.3,31.1,8.9%,3.0%,27.2%,5.7%,14133,434200
90034,Los Angeles,Los Angeles,8059573,75714,98799,48244,9.1%,47571,84678,69083,48750,25248,3574,4764,4121,4058,4340,2085,2306,53861,17308.5,34.0,34.3%,23.2%,5.9%,4.6%,27848,983300
90035,Los Angeles,Los Angeles,5304338,89337,136176,60302,18.4%,51659,103971,105625,44344,11816,1813,1538,1696,1510,1947,1137,2175,27272,13316.3,36.3,36.8%,26.5%,4.5%,3.7%,13857,1094900
90036,Los Angeles,Los Angeles,6398098,80539,119531,59781,15.1%,43086,84281,89902,65142,18559,2884,2409,3281,2294,3225,1656,2810,37965,15368.5,34.8,42.7%,25.9%,5.3%,5.2%,20852,1504000
90037,Los Angeles,Los Angeles,7348156,35424,49627,14445,1.2%,25862,37161,38423,21484,17699,6524,5133,2676,1066,1502,588,210,67640,23840.9,30.7,5.5%,1.5%,29.6%,7.7%,18682,407200
90038,Los Angeles,Los Angeles; West Hollywood,4057210,47116,63529,28564,4.1%,42995,55531,46563,23241,12229,3781,2529,2400,1388,1332,298,501,28580,18244.5,33.9,27.5%,6.5%,20.8%,5.8%,13776,821600
90039,Los Angeles,Los Angeles,9764930,90538,124940,51159,16.9%,55625,107774,84535,53125,11685,1581,1702,1619,1530,2312,961,1980,29510,7827.0,39.2,33.0%,17.8%,8.2%,5.8%,12557,854200
90040,Los Angeles,Bell; Commerce; Vernon,14455067,47120,63795,19476,2.7%,40900,45823,63189,30199,3461,812,1002,508,383,557,105,94,12328,2208.9,35.3,7.0%,2.6%,13.5%,5.0%,3608,406900
90041,Los Angeles,Los Angeles,9343717,85971,115593,40317,12.8%,54886,108042,94688,51571,9661,1520,1407,1543,990,1844,1118,1239,29090,8063.5,38.8,32.1%,14.5%,6.9%,6.1%,10232,735100
90042,Los Angeles,Los Angeles,12036777,64267,87211,30575,7.8%,30776,75292,70241,38672,21017,3891,4399,3523,2598,3602,1363,1641,63193,13597.4,35.8,21.3%,11.0%,11.3%,6.8%,22061,627200
90043,Los Angeles,Los Angeles; View Park-Windsor Hills,10705825,54729,77169,31101,7.1%,40670,53438,58866,45719,17376,5195,2957,2735,1536,2527,1190,1236,45873,11097.7,40.1,16.0%,10.2%,14.2%,9.0%,18748,556400
90044,Los Angeles,Los Angeles; West Athens; Westmont,13303667,35981,51524,16278,1.6%,31067,36945,41083,24736,29029,10683,7638,4028,2880,2689,637,474,99443,19359.8,31.6,5.9%,2.0%,26.2%,7.1%,30461,391100
90045,Los Angeles,Del Aire; Los Angeles,27794039,104578,140825,56291,22.0%,25417,119839,131532,74872,15622,1834,1963,1803,1707,2886,1997,3432,40567,3780.2,35.1,38.3%,22.5%,4.6%,5.0%,17133,959400
90046,Los Angeles,Los Angeles; West Hollywood,14981233,72266,114923,67271,14.3%,36379,81991,83396,28995,29025,5983,4778,4121,3207,4590,2181,4165,50900,8799.7,38.2,43.0%,18.5%,3.8%,6.6%,31822,1183200
90047,Los Angeles,Los Angeles; West Athens; Westmont,12252022,52605,66946,25360,2.9%,25951,61845,53764,45453,17893,4710,3871,3166,2151,2605,878,512,51411,10867.9,38.4,10.1%,5.2%,11.7%,8.5%,18802,433700
90048,Los Angeles,Los Angeles; West Hollywood,4884083,100586,148754,81692,20.3%,67679,114819,103750,58360,11636,1322,1234,1864,1357,2432,1061,2366,21489,11395.4,37.7,43.7%,24.8%,2.9%,5.1%,13344,1229900
90049,Los Angeles,Los Angeles,38899404,129688,226246,105369,33.5%,56106,127075,157683,126827,16720,1918,1321,1626,1822,2624,1804,5605,36418,2424.8,40.6,39.7%,39.0%,3.3%,4.5%,18367,2000001
90057,Los Angeles,Los Angeles,2293708,37700,48449,18216,1.1%,41494,43246,40353,19623,17298,5884,4835,3011,1814,1301,255,198,50152,56630.2,33.5,15.9%,4.4%,26.5%,7.0%,18360,457000
90062,Los Angeles,Los Angeles,5008333,49443,67726,20879,2.4%,43938,48583,54538,44224,10063,2519,2566,1616,1305,1419,396,242,35916,18573.4,34.6,10.3%,2.8%,15.1%,4.5%,10680,444000
90063,Los Angeles,East Los Angeles; Los Angeles,8475626,48559,63963,17698,2.2%,43314,48853,62179,28788,13686,2891,4114,2584,1750,1628,417,302,53980,16495.2,31.9,8.4%,2.0%,15.6%,8.0%,14394,406600
90064,Los Angeles,Los Angeles,10388700,102117,163066,71214,26.5%,48145,109320,128155,62458,11083,1634,1398,1285,1100,1530,1199,2937,25925,6463.3,40.3,36.1%,31.7%,4.7%,3.3%,11998,1178000
90065,Los Angeles,Los Angeles,13672051,67479,98376,34334,10.9%,38594,80262,72917,54707,15414,2688,2970,2521,1748,2452,1353,1682,46461,8801.4,37.2,24.5%,11.5%,11.0%,7.6%,16429,706900
90066,Los Angeles,Culver City; Los Angeles,12745916,83899,117608,52713,15.5%,54226,94722,93096,53650,25785,3516,4046,3931,3594,4372,2338,3988,59167,12022.8,38.1,32.5%,22.0%,6.9%,5.4%,26937,1121400
90069,Los Angeles,Los Angeles; West Hollywood,5475727,93380,145432,92082,19.8%,48958,107681,101622,56113,12488,1826,1700,1677,1514,2216,1079,2476,20230,9568.7,42.9,43.3%,24.1%,2.3%,4.9%,14447,846700
90094,Los Angeles,Los Angeles,1578966,155417,210426,93577,42.7%,2499,198594,149091,133200,4361,462,262,258,418,699,402,1860,9827,16119.3,36.2,42.1%,39.5%,3.6%,3.5%,4663,1030600
90201,Los Angeles,Bell; Bell Gardens; Cudahy,15377708,44046,53867,14257,1.1%,40104,44393,47887,28273,24464,6033,7900,5081,2695,1829,667,259,101965,17173.4,29.8,5.4%,1.0%,23.6%,7.6%,25048,406800
90211,Los Angeles,Beverly Hills,1813976,86437,162837,76317,19.7%,53438,100167,101667,65429,3661,528,414,669,343,504,483,720,8019,11449.5,42.2,34.4%,28.6%,5.2%,6.3%,4268,1722200
90212,Los Angeles,Beverly Hills,2474284,95080,159462,71351,23.7%,57115,98185,99938,85337,5887,1075,510,677,789,864,578,1394,13314,13936.6,41.1,37.5%,26.9%,11.0%,6.0%,6695,2000001
90220,Los Angeles,Compton; West Rancho Dominguez,17898360,57074,66755,18292,2.2%,68611,53979,65603,39418,13206,2869,2903,2949,1802,1812,574,297,52817,7642.9,31.7,7.2%,3.3%,16.9%,9.2%,13764,330800
90221,Los Angeles,Compton; East Rancho Dominguez; Paramount,13809070,51377,62433,16090,1.8%,49024,49650,58329,42647,12144,2643,3169,2790,1481,1408,438,215,51688,9694.4,31.0,4.9%,1.1%,18.2%,9.7%,12506,364100
90222,Los Angeles,Compton; West Rancho Dominguez; Willowbrook,6664307,49894,61055,16178,1.4%,18512,41682,62903,29792,7979,2130,1866,1341,1090,1136,303,113,33200,12902.7,29.1,7.0%,1.9%,20.6%,7.2%,8226,352800
90230,Los Angeles,Culver City; Ladera Heights; Los Angeles,11678900,85524,117862,49264,12.9%,47688,87404,118463,56600,13327,1921,2051,1966,1399,2448,1825,1717,32687,7248.9,40.4,27.8%,23.4%,8.4%,4.0%,13842,769700
90232,Los Angeles,Culver City; Los Angeles,5454843,90467,127786,58630,16.8%,47125,110335,99730,51344,6598,862,858,950,1074,1059,684,1111,14780,7017.6,40.4,31.9%,26.7%,2.3%,3.6%,7058,1125200
90241,Los Angeles,Downey,12753184,72715,87522,28169,6.5%,63061,71368,81533,53125,13176,1525,3011,2286,2071,2538,891,854,43215,8776.3,36.0,17.1%,7.0%,8.9%,6.1%,13912,582300
90242,Los Angeles,Downey,11788002,71233,85792,26335,6.0%,50833,72602,80059,55821,12325,1494,2421,2614,2017,2296,745,738,42694,9380.5,34.1,14.4%,6.5%,7.6%,5.7%,12713,513900
90245,Los Angeles,El Segundo,14149157,109577,142202,55948,21.5%,62578,128279,110929,62792,6417,486,837,865,812,1112,928,1377,16731,3062.6,37.3,37.8%,20.6%,4.1%,6.5%,6771,1094300
90247,Los Angeles,Gardena; Los Angeles; West Athens,9723628,55561,71599,25296,4.0%,21986,56949,63534,37377,16001,3739,3627,2807,2176,2100,914,638,48293,12863.3,38.0,16.6%,5.9%,14.5%,5.7%,16776,455900
90250,Los Angeles,Alondra Park; Del Aire; Hawthorne; Lawndale,17339240,56304,75465,26308,4.5%,48295,54308,64282,41560,31905,6322,7227,6678,3967,4618,1654,1439,97072,14499.8,33.5,15.9%,6.6%,11.6%,5.7%,33289,567900
90254,Los Angeles,Hermosa Beach,3695156,136702,206475,96883,34.8%,73258,146510,180185,90234,8956,663,687,807,1033,1583,1067,3116,19539,13695.2,39.3,48.3%,27.4%,2.6%,4.0%,10058,1542900
90255,Los Angeles,Cudahy; Florence-Graham; Huntington Park; Walnut Park,9630267,44962,58611,15936,1.7%,36000,41574,55389,34213,18577,4537,5759,3237,2322,1840,571,311,75019,20175.8,32.6,5.4%,1.7%,20.2%,7.8%,19021,411700
90260,Los Angeles,Alondra Park; Hawthorne; Lawndale,6941330,65340,79633,25515,3.9%,84318,72454,66631,40993,10532,1555,2318,2262,1630,1686,669,412,34827,12994.8,35.9,16.7%,6.0%,9.1%,4.4%,11126,541000
90262,Los Angeles,Lynwood; Paramount,12517568,52313,66975,16279,2.6%,42946,43517,62813,47728,15374,2953,4375,2898,2202,1837,703,406,70536,14594.5,30.0,6.1%,1.6%,16.4%,8.4%,15667,399100
90270,Los Angeles,Bell; Commerce; Maywood,3267822,44124,58118,15567,1.7%,71477,40196,56209,28810,6684,1658,1960,1321,717,673,239,116,27287,21626.9,30.1,4.7%,1.0%,21.6%,7.8%,6825,387000
90277,Los Angeles,Redondo Beach; Torrance,9277133,106185,146954,67899,21.3%,79417,116221,123503,72218,15844,1359,1638,2027,2358,3378,1712,3372,34827,9723.0,43.6,37.6%,24.9%,2.4%,3.9%,17636,1089500
90278,Los Angeles,Redondo Beach; Torrance,9332860,116783,151310,58845,26.8%,155333,155613,125031,69009,15312,1217,1570,1817,1845,2641,2115,4107,40252,11170.4,39.7,35.9%,22.4%,1.6%,3.6%,16235,881900
90280,Los Angeles,Lynwood; South Gate,18920097,52321,65785,18031,2.0%,43889,50525,59918,37945,24071,4588,6832,5010,3161,2862,1143,475,94642,12955.6,31.9,7.1%,2.3%,15.4%,9.6%,24601,408200
90292,Los Angeles,Culver City; Los Angeles; Marina del Rey,5272868,114726,156006,85223,23.6%,70221,128553,113527,80625,12606,1650,1271,1269,1028,2610,1799,2979,23549,11567.1,39.6,43.4%,27.1%,11.0%,3.5%,14452,978900
90301,Los Angeles,Inglewood,6416791,47464,62868,21761,2.5%,38295,48628,56604,33795,12046,2865,3372,2275,1458,1315,464,297,38234,15432.3,35.4,10.5%,3.7%,14.0%,8.5%,12731,437400
90303,Los Angeles,Hawthorne; Inglewood,5767483,55897,72008,22423,3.4%,48106,57132,62948,43491,7048,1380,1804,1432,922,885,384,241,24374,10945.6,33.4,10.2%,4.1%,12.6%,5.6%,7393,468900
90304,Los Angeles,Del Aire; Hawthorne; Inglewood; Lennox,4057536,49120,62376,17115,1.8%,40000,42561,58520,44688,6583,1497,1835,1466,677,764,224,120,25946,16561.7,30.2,8.4%,1.9%,18.3%,5.8%,6965,472600
90401,Los Angeles,Santa Monica,2197992,82681,115568,76874,16.8%,58393,127824,86875,18443,4603,1181,561,431,406,669,581,774,7111,8379.2,37.2,39.6%,30.3%,5.3%,8.5%,5542,1079500
90403,Los Angeles,Santa Monica,3697304,107420,149023,80707,20.6%,92625,147656,104309,46599,12739,2014,1305,1200,1371,2574,1652,2623,23902,16743.5,41.3,42.9%,31.7%,2.6%,4.3%,14682,1246500
90404,Los Angeles,Santa Monica,5161108,78542,115409,51880,14.8%,51875,105743,71302,38933,9957,1858,1441,1445,1314,1494,930,1475,22929,11506.4,37.4,34.4%,20.4%,6.0%,5.8%,10727,834400
90405,Los Angeles,Los Angeles; Santa Monica,6852902,95674,136893,69542,19.6%,46466,109333,97366,60101,13943,2236,2077,1411,1615,2251,1615,2738,28156,10641.3,40.2,39.9%,27.9%,6.1%,4.7%,15265,1460400
90501,Los Angeles,Los Angeles; Torrance; West Carson,14659585,71712,90910,32116,9.7%,42660,69142,85296,64412,14242,2587,2594,2187,1906,2648,941,1379,41975,7416.0,37.7,24.0%,11.0%,13.4%,5.5%,15676,645400
90503,Los Angeles,Torrance,13740288,93063,117167,45099,16.1%,41016,111961,109030,58188,16647,1955,2596,2368,1984,3130,1938,2676,44605,8407.9,41.2,36.0%,18.6%,5.6%,3.9%,17767,798800
90504,Los Angeles,Alondra Park; Torrance,11527766,90210,109503,39641,12.3%,29559,94283,109885,60888,11685,1458,1833,1695,1365,2376,1517,1441,33410,7506.4,41.4,31.1%,11.1%,5.0%,4.6%,12411,633500
90505,Los Angeles,Rolling Hills Estates; Torrance,15005471,99764,126777,48929,16.3%,64479,110072,117941,65938,13992,1487,1975,1699,1842,3064,1644,2281,37220,6424.3,41.9,35.6%,21.0%,3.6%,3.4%,14808,863300
90602,Los Angeles,Whittier,9610614,55216,76053,24103,4.7%,52969,55616,62279,45893,7643,1553,1941,1243,983,982,582,359,25581,6893.9,33.1,11.0%,8.2%,12.2%,4.9%,7963,548800
90604,Los Angeles,East Whittier; South Whittier; Whittier,11036442,74944,88568,27131,4.6%,67763,81821,88912,49247,12432,1554,2269,2397,1868,2454,1319,571,42911,10070.2,35.2,12.4%,6.5%,4.3%,4.8%,12751,527200
90606,Los Angeles,Pico Rivera; Santa Fe Springs; West Whittier-Los Nietos; Whittier,9797755,74986,87102,25514,4.8%,32132,85610,81488,48421,8996,1171,1810,1518,1458,1783,821,435,32987,8720.0,36.8,11.1%,4.0%,7.2%,4.9%,9138,444800
90620,Orange,Buena Park,16561790,91512,108143,32437,9.9%,36397,97500,103557,60543,13142,1212,2157,2024,1838,3190,1420,1301,46414,7258.4,38.1,23.3%,7.7%,5.7%,4.6%,13591,576700
90621,Orange,Buena Park; Fullerton,10750249,67650,83953,25776,5.9%,53152,64088,80536,47073,10366,1692,1962,2174,1635,1426,865,612,35598,8576.4,35.7,22.1%,7.8%,11.5%,6.0%,10782,591500
90631,Los Angeles; Orange,La Habra; La Habra Heights,35993787,83629,105671,33986,10.4%,44150,79821,99354,58214,21229,2565,3344,3597,3155,4444,1909,2215,69064,4969.6,37.2,20.0%,10.9%,8.5%,7.0%,21985,577600
90638,Los Angeles; Orange,La Mirada,20381099,95723,108813,33414,10.9%,46964,109281,111347,52658,14350,1690,1980,1904,1984,3417,1806,1569,49227,6255.7,39.6,22.0%,10.4%,3.3%,6.1%,14667,570200
90640,Los Angeles,Montebello; Pico Rivera; Rosemead,21990624,56009,73941,24031,4.1%,44783,56446,67837,39857,18898,3989,4500,3365,2288,2830,1158,768,62730,7388.1,36.1,14.4%,5.4%,11.4%,7.1%,19951,492200
90650,Los Angeles,Norwalk; Santa Fe Springs,25408341,70667,83461,23139,3.6%,47794,76782,79498,47500,26964,3596,5032,5500,4356,5492,2011,977,105304,10734.1,34.9,14.1%,4.6%,8.2%,5.8%,28011,440800
90680,Orange,Garden Grove; Stanton,6994513,59220,77241,24422,4.6%,46058,61386,69012,32966,9037,1819,2089,1641,1089,1365,622,412,30531,11305.3,35.4,14.9%,5.3%,13.5%,4.5%,9360,400200
90701,Los Angeles,Artesia; Cerritos,4221866,67765,83874,24607,5.1%,50714,74089,73428,49145,4468,572,1018,957,641,695,359,226,16801,10306.9,38.3,20.9%,7.3%,5.6%,5.4%,4699,543200
90703,Los Angeles,Cerritos,22732084,105832,124258,39677,17.0%,26630,114760,122080,72500,15515,1409,2046,2118,1776,3431,2098,2637,50589,5763.9,45.8,34.6%,18.1%,4.0%,6.0%,16265,683300
90706,Los Angeles,Bellflower,15823886,60011,76903,24628,3.9%,39079,61241,68305,34074,23240,4423,5279,4425,3294,3681,1237,901,77195,12635.0,34.6,13.6%,4.9%,9.8%,5.8%,24874,458600
90710,Los Angeles,Los Angeles; West Carson,6096999,63907,84138,29075,6.0%,27240,60821,80080,52757,9230,1692,1796,1717,1305,1346,817,557,28045,11913.4,37.8,18.7%,8.2%,12.3%,7.0%,9651,500600
90712,Los Angeles,Lakewood,11092562,96634,108424,37420,9.9%,38333,106128,108631,62808,10338,812,1407,1362,1814,2607,1312,1024,31217,7288.8,39.3,23.5%,9.3%,3.5%,5.0%,10743,572000
90715,Los Angeles,Lakewood,4404196,76105,90506,28256,5.1%,70481,100655,73669,41731,6018,927,1047,970,782,1359,629,304,20256,11912.0,36.7,21.2%,6.7%,9.3%,5.1%,6302,477300
90717,Los Angeles,Lomita; Los Angeles,5131144,71388,93904,38172,8.5%,35945,75189,82070,49638,8477,1567,1395,1540,928,1577,746,724,21508,10856.3,39.8,24.4%,11.1%,6.4%,3.1%,8872,603200
90720,Orange,Cypress; Los Alamitos; Rossmoor; Seal Beach,15863319,106332,136620,49350,21.6%,32500,106336,138000,77326,7843,723,1189,937,893,1530,875,1696,22261,3634.5,43.7,31.8%,21.2%,5.0%,4.8%,8044,894600
90723,Los Angeles,Paramount,12133131,55670,64698,18073,1.3%,48750,53737,64879,44043,14207,2633,3615,3090,2491,1695,497,186,54513,11636.6,30.9,7.6%,3.7%,14.3%,5.3%,14801,343800
90731,Los Angeles,Long Beach; Los Angeles,23721000,53456,79645,31212,6.8%,39213,60899,60305,41550,22695,5246,5404,3617,2337,3126,1415,1550,60659,6623.1,36.9,15.6%,7.1%,14.3%,7.2%,24573,590700
90740,Los Angeles; Orange,Long Beach; Seal Beach,22741495,68947,109432,57424,13.9%,33482,118942,111582,42727,12550,2022,2705,1881,1391,1642,1161,1748,24307,2768.3,58.3,30.1%,18.9%,4.0%,4.0%,13709,370100
90744,Los Angeles,Los Angeles,21743450,50875,65582,18352,2.8%,39543,48018,62101,38700,14788,3040,4214,2781,1885,1840,612,416,56880,6775.3,30.6,6.5%,2.0%,16.4%,5.9%,15405,397700
90755,Los Angeles,Long Beach; Signal Hill,5643682,75426,95685,40271,14.5%,53272,80767,77837,59808,4743,816,691,849,505,988,204,690,11545,5298.2,37.9,31.3%,15.1%,12.1%,5.4%,4931,507500
90802,Los Angeles,Long Beach,16799415,54616,72678,39665,4.4%,40938,60014,57232,32131,20756,4823,4552,3915,2850,2528,1184,904,38962,6006.8,36.4,25.7%,15.5%,14.8%,5.9%,22834,404100
90803,Los Angeles,Long Beach,10444951,90278,124551,66220,14.9%,36250,83338,113023,83266,16718,1942,2336,2539,2442,3188,1788,2483,32126,7966.1,45.4,32.4%,22.9%,3.1%,4.3%,18134,897800
90804,Los Angeles,Long Beach,5475897,52948,70607,28129,4.3%,21202,57467,53719,31364,14955,3435,3507,2964,1817,1968,614,650,39239,18559.3,32.0,19.8%,9.0%,14.7%,4.3%,15695,517600
90805,Los Angeles,Long Beach,19081708,50914,64669,19700,1.9%,45644,52009,58999,35036,27354,6094,7297,4924,3654,3574,1289,522,95995,13029.5,31.2,10.3%,3.1%,16.9%,9.0%,28378,405300
90806,Los Angeles,Long Beach; Signal Hill,8914729,54437,68969,22148,3.1%,30898,56338,61648,29861,12788,2769,3195,2412,1759,1730,529,394,41990,12199.3,33.1,12.4%,5.0%,16.5%,4.9%,13309,466000
90807,Los Angeles,Long Beach,15119880,78948,105802,43393,10.6%,53417,78424,94452,58080,12741,1476,2362,2210,1758,2186,1399,1350,32202,5516.1,42.1,25.2%,16.2%,3.8%,3.5%,13297,608400
90808,Los Angeles,Long Beach,17796360,110625,134422,48895,20.0%,48047,125833,136867,71735,13916,1384,1181,1570,2038,2923,2038,2782,39330,5723.9,42.4,25.7%,17.2%,4.3%,2.8%,14256,650400
90813,Los Angeles,Long Beach; Los Angeles,8312277,38449,51358,16366,1.9%,35712,45501,42007,21073,17192,5277,5256,3042,1797,1182,316,322,58380,18190.4,30.1,9.5%,3.1%,23.7%,9.0%,18309,393000
90814,Los Angeles,Long Beach,3508115,73391,94715,45630,9.4%,59250,81743,82440,50658,9165,1219,1929,1533,1267,1758,593,866,19685,14533.1,36.5,31.8%,20.3%,6.8%,2.6%,9845,704800
91001,Los Angeles,Altadena; Pasadena,21382417,101061,141230,49345,19.9%,172212,101963,115568,78044,12669,1431,1547,1881,1369,2266,1653,2522,37818,4580.8,44.3,22.3%,21.6%,4.8%,5.7%,13785,748100
91006,Los Angeles,Arcadia; Mayflower Village; North El Monte,16363859,103224,136982,45639,19.8%,26098,103537,125203,77500,10575,1111,1510,1257,1240,2032,1329,2096,32958,5216.4,44.3,31.5%,20.2%,6.5%,4.8%,11396,995400
