property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O2981217548,single_family,1989.0,False,4.0,3,,3,1610000,6300,2824,5315 Canyon Crest Dr,['Dougherty Hills'],San Ramon,Contra Costa,CA,94582
O2619365246,condo,1971.0,False,2.0,1,,None,447500,None,952,9085 Alcosta Blvd Apt 404,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2986211184,single_family,1989.0,False,3.0,3,,None,1520000,7865,2804,2160 Canyon Crest Ave,['Dougherty Hills'],San Ramon,Contra Costa,CA,94582
O1031297772,single_family,2007.0,False,5.0,4,1.0,3,2022000,10259,4118,5726 Wells Ln,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O2872661857,single_family,1990.0,False,2.0,2,1.0,2,1225000,3040,1964,143 Cortona Dr,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2363258832,condo,2007.0,False,3.0,2,1.0,2,1000000,2850,2180,5323 Sherwood Way,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O2823859244,condo,2015.0,False,3.0,2,1.0,2,1075000,None,1763,3005 Blackberry Ave,"['Dougherty Valley', 'Gale Ranch']",San Ramon,Contra Costa,CA,94582
O2686144255,condo,2008.0,False,3.0,2,1.0,2,890000,None,2330,5086 Fioli Loop,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O1263181352,condo,2015.0,False,4.0,4,,None,1110000,1002,2254,5027 Barrenstar Way,"['Gale Ranch', 'Dougherty Valley']",San Ramon,Contra Costa,CA,94582
O1143583479,single_family,2016.0,False,4.0,4,1.0,3,2580000,10593,4304,1025 Sky Jasmine Way,"['The Bridges', 'Dougherty Valley']",San Ramon,Contra Costa,CA,94582
O2431582162,single_family,1978.0,False,3.0,2,,None,1390000,11200,2090,2595 Shadow Mountain Dr,['Twin Creeks'],San Ramon,Contra Costa,CA,94583
O1985856390,condo,1988.0,False,2.0,2,,None,589000,None,1058,379 Eastridge Dr,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2836849286,single_family,1989.0,False,4.0,3,,2,1485000,5250,2348,514 Fallen Leaf Cir,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2846799293,single_family,1990.0,False,3.0,2,,2,1488000,3700,1885,180 Teracina Dr,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O1264485660,single_family,2016.0,False,4.0,3,,2,1450000,2923,2534,341 Goldfield Pl,['Dougherty Valley'],San Ramon,Contra Costa,CA,94582
