"name","county_name","city_name","aland","median_household_income","average_household_income","per_capita_income","percent_of_households_with_incomes_200000_or_more","householder_under_25_years","householder_25_to_44_years","householder_45_to_64_years","householder_65_years_and_over","hhi_total","hhi_lt_25k","hhi_25k_to_49k","hhi_50k_to_749k","hhi_75k_to_999k","hhi_100k_to_1490k","hhi_150k_to_1999k","hhi_200k_or_more","race_and_ethnicity_total","population_density_sq_mi","median_age","educational_attainment_bachelors","educational_attainment_graduate","family_poverty_pct","unemployment_pct","housing_units","median_value_of_owner_occupied_units","cities","city","city_population"
"92626","Orange","Costa Mesa","25201633","88398","113862","44114","12.9%","43785","96180","96016","66281","18947","1953","2726","2855","2984","3807","2186","2436","50605","5200.7","35.3","30.7%","13.6%","6.8%","3.7%","20140","761600","Costa Mesa","Costa Mesa","140953"
"92627","Orange","Costa Mesa","16510525","79790","105353","38719","11.9%","37895","95788","85200","49821","22259","3192","3626","3699","2757","4354","1983","2648","63161","9908","35.2","24.8%","12.4%","9.4%","4.6%","23202","742100","Costa Mesa","Costa Mesa","140953"
"92630","Orange","Lake Forest","24678186","97554","126168","45609","16.3%","68594","108445","119446","64941","20806","2227","2705","2822","2830","3845","2988","3389","59403","6234.4","41.2","29.2%","14.6%","5.9%","4.1%","21796","622700","Lake Forest","Lake Forest","161327"
"92637","Orange","Irvine; Laguna Beach; Laguna Woods","9076217","44020","61849","42857","3.2%","1","1","49661","43034","11003","3330","2828","2149","951","1003","391","351","16053","4580.9","75.6","28.1%","21.1%","6.1%","3.5%","12398","288400","Irvine","Irvine","368084"
"92637","Orange","Irvine; Laguna Beach; Laguna Woods","9076217","44020","61849","42857","3.2%","1","1","49661","43034","11003","3330","2828","2149","951","1003","391","351","16053","4580.9","75.6","28.1%","21.1%","6.1%","3.5%","12398","288400","Laguna Beach","Laguna Beach","107167"
"92646","Orange","Huntington Beach","21217293","98882","121982","47546","16.3%","44861","121120","118397","72862","21205","2117","2676","2948","3005","4568","2442","3449","55870","6820","46.5","26.9%","16.7%","3.6%","4.3%","22298","762400","Huntington Beach","Huntington Beach","200267"
"92647","Orange","Huntington Beach; Midway City","20066871","87237","107414","38419","11.9%","58164","91870","101380","61852","21452","2398","3347","3484","3165","4494","2017","2547","62199","8027.9","36.5","22.8%","13.3%","7.5%","4.5%","22287","688400","Huntington Beach","Huntington Beach","200267"
"92648","Orange","Huntington Beach","20822799","95857","136946","59206","18.0%","63523","100042","108488","75612","19540","2227","2866","2271","2709","4001","1941","3525","46228","5749.9","43.2","28.9%","16.8%","2.4%","3.9%","21182","920500","Huntington Beach","Huntington Beach","200267"
"92649","Orange","Huntington Beach; Seal Beach","19801434","100341","131623","54806","17.5%","80506","108036","118952","78086","14339","1695","1580","1750","2122","2842","1835","2515","35278","4614.3","45","27.6%","19.7%","6.0%","4.5%","15214","790400","Huntington Beach","Huntington Beach","200267"
"92651","Orange","Aliso Viejo; Laguna Beach; Newport Beach","50398996","132222","215188","95495","35.3%","21974","124890","160093","118070","10904","983","1128","1059","1220","1573","1093","3848","24800","1274.5","52.2","36.3%","30.7%","2.4%","5.8%","14134","1890000","Aliso Viejo","Aliso Viejo","173394"
"92651","Orange","Aliso Viejo; Laguna Beach; Newport Beach","50398996","132222","215188","95495","35.3%","21974","124890","160093","118070","10904","983","1128","1059","1220","1573","1093","3848","24800","1274.5","52.2","36.3%","30.7%","2.4%","5.8%","14134","1890000","Laguna Beach","Laguna Beach","107167"
"92651","Orange","Aliso Viejo; Laguna Beach; Newport Beach","50398996","132222","215188","95495","35.3%","21974","124890","160093","118070","10904","983","1128","1059","1220","1573","1093","3848","24800","1274.5","52.2","36.3%","30.7%","2.4%","5.8%","14134","1890000","Newport Beach","Newport Beach","160788"
"92653","Orange","Aliso Viejo; Laguna Hills; Laguna Niguel; Mission Viejo","17361999","101735","148950","52732","21.2%","72250","109375","120579","76563","10308","1030","1370","1267","1310","1884","1265","2182","30012","4477.1","42.6","32.3%","18.4%","4.7%","3.8%","10747","722300","Aliso Viejo","Aliso Viejo","173394"
"92653","Orange","Aliso Viejo; Laguna Hills; Laguna Niguel; Mission Viejo","17361999","101735","148950","52732","21.2%","72250","109375","120579","76563","10308","1030","1370","1267","1310","1884","1265","2182","30012","4477.1","42.6","32.3%","18.4%","4.7%","3.8%","10747","722300","Laguna Hills","Laguna Hills","148594"
"92653","Orange","Aliso Viejo; Laguna Hills; Laguna Niguel; Mission Viejo","17361999","101735","148950","52732","21.2%","72250","109375","120579","76563","10308","1030","1370","1267","1310","1884","1265","2182","30012","4477.1","42.6","32.3%","18.4%","4.7%","3.8%","10747","722300","Mission Viejo","Mission Viejo","256192"
"92655","Orange","Midway City; Westminster","1637351","40529","63654","19175","4.2%","1","1","55385","24212","2422","909","442","458","165","132","215","101","8382","13258.8","38.7","14.3%","4.6%","25.6%","10.3%","2543","573400","Westminster","Westminster","122676"
