ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other,zip_code
16,42,4,63,14,16,17,8,93033
10,25,0,37,6,6,6,0,93035
0,17,0,31,5,7,9,2,93036
0,3,2,15,2,5,23,0,95110
4,44,0,81,12,20,38,10,95111
3,15,7,37,7,12,46,3,95112
1,149,3,265,39,60,43,16,93065
1,128,5,196,34,47,46,13,93063
1,17,1,46,2,7,27,5,95116
2,30,1,51,5,6,33,2,95117
0,32,0,58,1,4,12,3,95118
0,8,1,13,3,1,2,2,95119
0,48,0,73,15,16,7,1,95120
0,26,0,54,9,12,27,5,95121
1,23,0,38,6,4,22,6,95122
0,55,0,95,9,20,57,4,95123
0,29,0,74,6,7,14,4,95124
3,43,4,86,19,15,33,7,95125
0,6,2,14,5,6,24,3,95126
1,31,1,70,6,24,11,6,95127
0,15,0,39,1,6,25,3,95128
0,23,0,24,3,3,12,5,95129
0,15,0,29,2,4,9,1,95130
0,27,2,43,7,7,29,5,95131
0,48,0,71,12,16,23,10,95132
1,39,0,77,12,15,26,8,95133
0,22,0,33,6,7,11,1,95134
0,25,2,36,8,6,3,0,95135
0,2,0,2,1,3,2,0,91040
1,76,0,97,8,19,34,5,95136
0,8,0,16,2,4,0,0,95138
0,9,0,16,1,8,5,1,95139
0,19,0,16,7,11,5,2,91042
0,38,1,61,6,15,13,6,95148
1,5,0,11,3,4,16,0,93101
7,17,1,20,8,7,15,5,93103
0,24,2,38,10,8,17,1,93105
5,30,1,30,13,16,13,2,93108
5,6,0,13,3,2,1,0,93109
3,31,3,43,12,14,16,7,93110
8,57,0,68,21,22,22,6,93117
0,7,2,9,3,3,16,0,91101
0,13,4,21,4,11,16,1,91103
0,16,14,35,13,4,8,0,91104
0,13,8,18,10,6,15,0,91105
0,12,7,19,6,4,19,3,91106
0,29,2,35,9,10,19,6,91107
0,27,9,26,13,3,4,8,91108
0,4,4,11,1,3,6,1,95202
3,12,1,19,6,6,10,6,95206
1,23,1,37,4,5,15,4,95207
0,14,6,30,5,2,14,4,95203
0,48,0,79,6,7,16,4,95209
0,18,0,39,2,4,13,4,95210
0,35,8,59,19,8,24,7,95204
