zip,schoolid,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,isPrivate,has_elementary,has_middle,has_high
90035,62271004905.666664,1833.6666666666667,4570.333333333333,3.3333333333333335,67.16666666666667,67.25220333333333,0.0,True,False,True
90036,62271003067.0,965.0,5789.0,4.0,83.33,84.02783000000001,0.0,True,False,False
90037,61016559507.0,2967.1111111111113,4976.555555555556,1.8888888888888888,41.80111111111111,40.222936666666655,0.0,True,False,True
90038,61743105120.5,3653.0,4764.333333333333,1.0,22.39333333333333,23.161246666666667,0.0,True,True,False
90039,62271002941.4,2180.2,5789.0,3.2,62.342,60.08788,0.0,True,False,False
90040,64733940124.0,4756.5,5789.0,1.0,17.835,20.465175,0.0,True,False,True
90041,61853464617.4,1080.0,4326.6,3.6,73.79,71.04145600000001,0.0,True,False,True
90042,62015767151.625,3158.0,4875.0,1.75,37.71125,36.2258675,0.0,True,False,True
90043,61119697349.333336,3543.3333333333335,4228.777777777777,1.0,22.444444444444443,23.75171444444445,0.0,True,True,True
90044,62062908803.3,3178.222222222222,3822.5555555555557,0.8888888888888888,18.552222222222223,19.87969,0.0,True,True,True
90045,62271005007.833336,1602.5,4764.333333333333,3.0,61.69166666666667,59.18897333333334,0.0,True,True,False
90046,61854884641.8,2051.5,4875.0,3.0,60.59250000000001,60.5749775,0.0,True,False,True
90047,61228692661.666664,1561.0,2249.4,1.6,31.134000000000004,28.225720000000003,0.0,False,True,True
90048,62271003110.0,3036.0,5789.0,2.5,47.555,43.216094999999996,0.0,True,False,False
90049,62271002970.333336,1161.0,5789.0,4.0,79.94333333333333,78.10550333333333,0.0,True,False,False
90057,61493184186.75,3254.1666666666665,4570.333333333333,1.5,34.45,33.910358333333335,0.0,True,False,True
90058,62271003261.0,4238.0,5789.0,1.5,26.795,27.140275,0.0,True,False,False
90062,60897333667.666664,3201.5714285714284,3593.285714285714,0.7142857142857143,13.764285714285714,15.89417,0.0,True,True,True
90063,61583197844.0,1871.125,3192.5,2.0,41.61000000000001,39.033617500000005,0.0,True,True,True
90064,61439887090.8,1270.6,4443.0,3.0,60.158,58.777606000000006,0.0,True,True,True
90065,61583117320.888885,2813.1111111111113,4635.0,2.111111111111111,45.21000000000001,44.45508555555556,0.0,True,True,True
90066,61356885445.111115,1702.4285714285713,4910.714285714285,3.2857142857142856,60.44571428571429,58.05891571428571,0.0,True,True,True
90069,62271003451.0,624.0,5789.0,4.0,89.22,90.33614,0.0,True,False,False
90071,60215663496.0,414.5,2133.0,4.0,80.57,77.185845,0.0,False,False,True
90094,62271013195.0,1527.0,5789.0,4.0,73.62,71.75773000000001,0.0,True,False,False
90201,62424337359.44444,3284.75,4490.75,1.625,30.1175,29.561840000000004,0.0,True,True,True
90211,60483000475.0,980.0,5789.0,4.0,83.07,83.73631999999999,0.0,True,False,False
90212,60483000471.0,410.5,3961.0,4.5,90.05000000000001,88.96597,0.0,False,True,True
90220,60962003452.111115,2653.714285714286,3949.285714285714,1.2857142857142858,28.09857142857143,26.98765714285714,0.0,True,True,True
90221,60743954910.25,3116.1666666666665,5179.666666666667,2.0,38.846666666666664,35.51230666666667,0.0,True,False,True
90222,60883573598.5,2585.1,4384.8,1.9,40.81999999999999,38.750979,0.0,True,True,True
90230,61181628989.875,839.2857142857143,4305.285714285715,3.7142857142857144,75.74428571428572,74.39934428571428,0.0,True,True,True
90232,61026001120.5,1527.5,5789.0,3.5,73.61500000000001,72.01711,0.0,True,False,False
90241,61146001267.6,1701.0,3711.8,2.4,50.736000000000004,47.013724,0.0,True,True,True
90242,61004129325.375,2335.6,5174.2,2.8,55.24400000000001,50.47076,0.0,True,True,True
90245,60839832735.75,676.75,3119.75,3.75,71.27,69.7605425,0.0,True,True,True
90247,61970975891.42857,3119.8571428571427,4910.714285714285,1.8571428571428572,36.32,33.70068285714285,0.0,True,True,False
90250,61138395232.5,2092.8571428571427,3783.0,2.2857142857142856,43.34571428571428,40.61588714285714,0.0,True,True,True
90254,61704002132.5,124.0,2715.0,5.0,95.43,95.27677,0.0,True,True,False
90255,60384241230.5,2090.6,3711.8,2.3,45.471000000000004,42.016036,0.0,True,True,True
90260,61398066086.6,1887.3,3653.6,2.4,44.507999999999996,42.503238,0.0,True,True,True
90262,62316006957.1,2759.2,4135.6,1.6,31.446000000000005,29.660949999999996,0.0,True,True,True
90270,61982237751.57143,2765.3333333333335,4570.333333333333,2.3333333333333335,41.39,38.45059,0.0,True,False,True
90277,60003205929.666664,517.2,3711.8,4.0,79.596,78.46493000000001,0.0,True,True,True
