zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90001,Los Angeles,Los Angeles,3966936,1,Florence-Graham; Huntington Park; Los Angeles,9071081,43360,54325,13727,0.007004,41207,44976,49008,31250,13669,3646,3951,2681,1516,1382,396,97,59832,17090.0,29.1,0.048,0.007996,0.2329,0.08704,14174,359000
90002,Los Angeles,Florence-Graham,65716,137,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,36209,44634,23235,12917,4562,3501,2117,1212,1116,257,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
90002,Los Angeles,Los Angeles,3966936,1,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,36209,44634,23235,12917,4562,3501,2117,1212,1116,257,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
90002,Los Angeles,Lynwood,70635,125,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,36209,44634,23235,12917,4562,3501,2117,1212,1116,257,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
90003,Los Angeles,Los Angeles,3966936,1,Los Angeles,9197635,40598,51181,13441,0.009,37159,37970,46117,30438,17484,5667,4918,2900,1979,1497,366,157,73730,20770.0,28.3,0.04398,0.01401,0.287,0.09,18523,362800
91351,Los Angeles,Santa Clarita,213411,18,Santa Clarita,24789132,81758,98320,31710,0.07104,56441,84306,87488,57926,10076,979,1689,1879,1746,1795,1271,717,32711,3418.0,37.0,0.1809,0.073,0.068,0.061,10425,427400
95993,Sutter,Yuba City,66516,133,Yuba City,221544746,69019,93435,31433,0.069,45788,66682,78074,61307,12285,1652,2628,2380,1511,2357,912,845,37077,433.5,37.8,0.143,0.086,0.105,0.076,12681,316700
96001,Shasta,Redding,91580,84,Keswick; Redding; Shasta,227815531,55821,78446,32785,0.058,32647,61795,67140,46419,13992,3204,3244,2154,1812,1906,855,817,34293,390.0,41.6,0.1659,0.11206,0.08,0.05603,15020,284700
96002,Shasta,Redding,91580,84,Redding,78346887,61055,78188,29627,0.047,53711,60657,67917,50361,12627,2391,2967,2459,1738,1802,679,591,34196,1130.0,37.4,0.147,0.069,0.11896,0.05,13576,257700
96003,Shasta,Redding,91580,84,Bella Vista; Mountain Gate; Palo Cedro; Redding; Shasta Lake,615250582,53512,71816,30305,0.04602,34669,64315,64231,43750,18410,4434,4116,3282,2301,2406,1027,844,44328,186.6,40.8,0.172,0.08203,0.11206,0.05,19871,262000
96007,Shasta,Redding,91580,84,Anderson; Redding,335720417,49044,66552,26520,0.037,48563,62195,53770,38008,9110,2353,2267,1692,1173,727,565,333,23228,179.2,40.2,0.108,0.039,0.123,0.06198,9723,225200
91303,Los Angeles,Los Angeles,3966936,1,Los Angeles,5603164,61250,77582,26073,0.042,42857,63647,61508,42112,10097,1839,2354,1766,1479,1583,647,429,31586,14600.0,32.2,0.1691,0.07104,0.144,0.055,10575,465100
94401,San Mateo,San Mateo,104333,70,San Mateo,8257745,93850,127116,45453,0.193,71118,127181,96210,68189,12397,1405,1778,1528,1735,2221,1339,2391,36001,11290.0,35.7,0.237,0.1759,0.067,0.052,13507,833000
