zipcode,price,population,population_rank,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,violent_crime_rate,property_crime_rate,postal_code,year_built,is_single_family,is_condo,is_multi_family,is_new_construction,beds,baths,baths_beds_ratio,garage,lot_size,building_size,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,has_elementary,has_middle,has_high,ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other
94509,530000,111200,60,42403699,64502,79319,26352,0.053,41250,52051,4127,1143,68166,4164.0,35.1,0.121,0.045,0.157,0.106,22582,369200,7.84,38.72,94509,1980,1,0,0,0,4,3.0,0.75,2,6500,2128,3254.14286,4305.28571,1.0,22.91,23.03266,1.0,1.0,1.0,4,132,5,199,28,40,87,14
95112,675000,1027690,3,18366928,66501,96923,34529,0.12,34885,25992,4708,2515,62228,8776.0,30.8,0.23399999999999999,0.139,0.1,0.063,22436,700200,3.21,24.34,95112,1987,1,0,0,0,3,2.5,0.8333,0,576,1006,3654.85714,4471.57143,1.14286,19.86714,21.34131,1.0,1.0,1.0,3,15,7,37,7,12,46,3
90048,1450000,3966936,1,4884083,100586,148754,81692,0.203,67679,58360,1322,2366,21489,11390.0,37.7,0.4368,0.2479,0.028999999999999998,0.051,13344,1229900,4.91,21.28,90048,1925,1,0,0,0,3,2.0,0.6667,2,6299,1495,3036.0,5789.0,2.5,47.555,43.2161,1.0,0.0,0.0,0,9,1,14,6,6,31,3
92011,1279000,114253,55,17612343,116382,158926,62824,0.2542,53115,73060,786,2391,24144,3550.0,44.5,0.35,0.28800000000000003,0.026000000000000002,0.039,10585,818200,1.82,15.41,92011,1992,1,0,0,0,5,3.5,0.7,3,10019,3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,26,0,51,11,8,9,3
94606,490000,425097,8,5924351,56129,77272,32420,0.061,40952,28575,3650,928,38220,16700.0,36.6,0.24100000000000002,0.126,0.1589,0.07400000000000001,16487,548600,16.85,59.43,94606,1896,0,1,0,0,2,1.0,0.5,0,3019,729,2912.22222,4293.44444,1.55556,32.74556,33.68893,1.0,1.0,1.0,0,3,0,14,1,7,15,0
92056,580000,175622,28,32241027,81583,98478,37383,0.091,60875,52957,2376,1720,52337,4204.0,39.9,0.221,0.11800000000000001,0.049,0.051,20131,507500,3.74,22.88,92056,2019,0,1,0,0,3,3.0,1.0,2,23522,1521,1682.3333300000002,5276.6666700000005,3.5,66.885,63.637480000000004,1.0,1.0,0.0,3,78,2,103,19,28,30,6
90068,1587000,3966936,1,20067144,88535,157859,86299,0.24,41391,94440,1679,2719,21092,2722.0,42.5,0.4082,0.249,0.018000000000000002,0.091,13943,1228400,4.91,21.28,90068,1918,1,0,0,0,3,3.5,1.1667,0,6599,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,8,23,20,22,13,2
92336,560000,210759,20,64466270,92569,107823,28789,0.106,41500,69394,1920,2667,98346,3952.0,32.9,0.175,0.068,0.063,0.055,25702,417900,3.47,18.14,92336,2006,1,0,0,0,4,3.0,0.75,2,5534,2733,1820.5555600000002,4293.44444,2.44444,51.33333,48.58678,1.0,1.0,1.0,1,56,4,98,19,8,26,6
95677,475000,64835,139,22960454,87742,103678,39121,0.121,42407,57500,1385,1131,25477,2874.0,38.6,0.2642,0.138,0.055999999999999994,0.048,9834,426300,0.83,17.21,95677,1980,1,0,0,0,3,2.0,0.6667,2,7113,1717,873.5,5276.6666700000005,4.0,83.39667,83.54423,1.0,1.0,0.0,0,72,1,113,10,17,26,11
94598,1255000,69567,126,39420282,154125,190564,72150,0.374,70286,96250,623,3878,27831,1829.0,45.1,0.377,0.33899999999999997,0.023,0.038,10874,951700,1.1,36.1,94598,1959,1,0,0,0,3,2.0,0.6667,2,11570,1515,709.3333299999999,4058.0,4.33333,83.88,82.85752,1.0,1.0,1.0,0,40,0,59,7,16,18,0
92110,1075000,1409573,2,12591847,73651,98005,39476,0.1071,36528,49523,1971,1215,30108,6190.0,33.0,0.3,0.16699999999999998,0.073,0.057999999999999996,12425,592200,3.81,19.59,92110,1956,1,0,0,0,3,2.0,0.6667,2,7499,1770,970.5,5789.0,4.25,83.235,82.81815,1.0,0.0,1.0,2,11,2,21,3,4,24,3
92084,975000,100686,75,67771250,73645,98395,30430,0.087,48657,61519,1505,1297,51619,1973.0,34.3,0.1791,0.071,0.073,0.048,15429,548400,3.48,17.27,92084,1983,1,0,0,0,3,3.0,1.0,2,58806,2682,2796.75,4106.5,1.75,34.17,33.20722,1.0,1.0,1.0,0,45,1,48,10,18,17,11
90278,1350000,67423,130,9332860,116783,151310,58845,0.268,155333,69009,1217,4107,40252,11170.0,39.7,0.3591,0.2241,0.016,0.036000000000000004,16235,881900,2.32,21.26,90278,2005,0,1,0,0,4,2.5,0.625,2,6761,2600,434.83333,5276.6666700000005,4.66667,91.815,92.20865,1.0,1.0,0.0,16,33,0,57,7,8,27,2
93035,819000,208154,21,10501578,92109,112795,40130,0.1,51419,77797,852,995,29354,7240.0,41.9,0.2,0.11800000000000001,0.032,0.061,12071,573200,4.33,31.26,93035,1957,1,0,0,0,3,2.0,0.6667,2,1750,1143,3535.5,5789.0,1.75,38.9275,37.7672,1.0,0.0,0.0,10,25,0,37,6,6,6,0
93551,530000,156293,34,189434351,93055,110689,35548,0.111,57277,63076,1459,1758,50601,692.0,38.2,0.18,0.1,0.05,0.063,16698,361400,5.31,20.35,93551,1991,1,0,0,0,4,3.0,0.75,0,19864,2350,2363.22222,4699.6666700000005,2.22222,47.58444,44.63767,1.0,1.0,1.0,0,80,3,99,27,18,20,11
92503,455000,326414,12,77488367,71542,86712,25140,0.068,47610,46250,3756,1695,95551,3194.0,33.6,0.12300000000000001,0.055999999999999994,0.10400000000000001,0.055,25788,369700,4.33,30.88,92503,1986,1,0,0,0,4,3.0,0.75,0,6970,1495,2679.16667,3545.6666700000005,1.5,28.38167,27.881240000000002,1.0,1.0,1.0,0,26,1,36,9,11,8,5
95122,385000,1027690,3,12315923,78734,98795,23830,0.092,61827,54563,1572,1163,56121,11800.0,33.8,0.121,0.04,0.10099999999999999,0.055999999999999994,13130,594000,3.21,24.34,95122,1985,0,1,0,0,1,1.0,1.0,0,857,746,1929.875,3722.25,2.5,47.11875,46.91098,1.0,1.0,1.0,1,23,0,38,6,4,22,6
93711,314000,525010,5,29213968,73930,108756,46464,0.10099999999999999,47028,65399,1969,1613,38007,3370.0,43.8,0.26,0.175,0.059000000000000004,0.067,16808,357300,4.64,41.12,93711,1979,0,1,0,0,2,2.0,1.0,0,4108,1965,1849.4,5174.2,3.2,61.504,57.90922,1.0,1.0,1.0,0,57,4,84,27,11,29,12
94703,1600000,121485,50,3460984,83074,120199,50332,0.162,58219,61130,1441,1404,21697,16240.0,34.5,0.34,0.365,0.046,0.055,9429,917500,3.66,43.33,94703,1964,0,0,1,0,8,4.0,0.5,0,5329,3594,895.66667,3739.6666700000005,3.66667,74.16667,71.99450999999999,1.0,1.0,0.0,0,6,0,31,2,6,15,0
92691,710000,95516,78,22798304,117517,137319,47834,0.183,60625,81458,1329,3113,50839,5776.0,43.5,0.3079,0.145,0.027999999999999997,0.037000000000000005,17594,670800,0.73,8.9,92691,1973,1,0,0,0,3,2.0,0.6667,2,5100,1178,1262.5,5789.0,3.83333,78.19167,76.94511,1.0,0.0,1.0,0,64,0,104,17,22,24,6
95404,285000,179701,25,207150378,81427,110375,45540,0.115,18293,60585,2156,1876,40497,506.2,41.6,0.272,0.156,0.075,0.049,17558,677800,3.68,22.26,95404,2000,1,0,0,0,3,3.5,1.1667,0,40284,3276,2781.14286,5349.85714,2.28571,47.23429,45.75014,1.0,1.0,0.0,0,57,7,89,23,31,48,5
95133,988000,1027690,3,8275846,86686,115768,37105,0.156,57500,44092,1626,1365,28565,8936.0,39.1,0.221,0.1421,0.115,0.071,8953,746500,3.21,24.34,95133,2019,0,1,0,0,3,3.5,1.1667,0,700,1644,1881.42857,3260.71429,2.28571,48.66571,46.03263,1.0,1.0,1.0,1,39,0,77,12,15,26,8
90808,929000,466776,7,17796360,110625,134422,48895,0.2,48047,71735,1384,2782,39330,5724.0,42.4,0.257,0.172,0.043,0.027999999999999997,14256,650400,4.89,26.4,90808,1953,1,0,0,0,5,2.0,0.4,2,6253,1828,743.875,4179.25,4.0,82.515,81.11695999999999,1.0,1.0,1.0,0,23,1,52,2,4,8,0
94568,1390000,61240,150,39597841,146103,175027,60320,0.3171,75833,72703,1009,5906,55608,3638.0,36.7,0.38,0.271,0.028999999999999998,0.036000000000000004,19392,847400,1.3,14.83,94568,2014,1,0,0,0,5,4.0,0.8,2,3076,2620,360.875,4947.75,4.75,93.25875,92.59046,1.0,1.0,1.0,0,22,1,29,7,3,15,3
95831,710000,500930,6,18199581,79368,102347,44916,0.10099999999999999,29300,70699,2319,1855,43094,6132.0,43.8,0.2979,0.1759,0.048,0.046,19303,417700,6.15,31.23,95831,1987,1,0,0,0,4,2.5,0.625,2,8712,2322,2903.16667,5179.6666700000005,2.16667,46.56333,46.396770000000004,1.0,0.0,1.0,0,15,0,24,1,3,7,0
93308,134000,377917,9,818436723,43717,61150,22727,0.027999999999999997,25122,35687,5792,539,53981,170.8,33.7,0.10400000000000001,0.047,0.1891,0.122,21255,219100,4.57,39.72,93308,1940,1,0,0,0,3,1.0,0.3333,0,6378,990,3009.57143,4827.57143,1.71429,39.13714,38.32128,1.0,1.0,1.0,1,69,1,118,15,12,17,11
95823,440000,500930,6,30571507,47553,61970,19714,0.023,30684,41507,5818,552,79440,6732.0,31.4,0.10400000000000001,0.032,0.1859,0.1,25022,244100,6.15,31.23,95823,2002,1,0,0,0,4,2.0,0.5,2,4622,1611,3551.14286,4827.57143,1.4285700000000001,25.96571,25.45022,1.0,1.0,1.0,0,40,0,61,2,10,25,2
92591,475000,113381,56,42650684,88034,105530,34832,0.1071,60114,62031,1462,1397,41609,2526.0,35.0,0.20199999999999999,0.131,0.07200000000000001,0.067,14086,448400,0.92,23.41,92591,1986,1,0,0,0,3,2.0,0.6667,2,9148,1411,1106.7142900000001,4388.42857,3.8571400000000002,76.32285999999999,74.25923,1.0,1.0,1.0,0,45,1,81,13,14,18,8
92591,455000,113381,56,42650684,88034,105530,34832,0.1071,60114,62031,1462,1397,41609,2526.0,35.0,0.20199999999999999,0.131,0.07200000000000001,0.067,14086,448400,0.92,23.41,92591,1987,1,0,0,0,3,2.0,0.6667,2,8276,1197,1106.7142900000001,4388.42857,3.8571400000000002,76.32285999999999,74.25923,1.0,1.0,1.0,0,45,1,81,13,14,18,8
92503,795000,326414,12,77488367,71542,86712,25140,0.068,47610,46250,3756,1695,95551,3194.0,33.6,0.12300000000000001,0.055999999999999994,0.10400000000000001,0.055,25788,369700,4.33,30.88,92503,2016,1,0,0,0,3,2.5,0.8333,3,11326,2832,2679.16667,3545.6666700000005,1.5,28.38167,27.881240000000002,1.0,1.0,1.0,0,26,1,36,9,11,8,5
92805,625000,349964,10,16355825,66253,80892,22919,0.05,64071,46417,3079,987,74478,11790.0,31.0,0.1421,0.048,0.14800000000000002,0.054000000000000006,20821,499600,3.17,23.62,92805,2009,0,1,0,0,3,3.5,1.1667,2,6200,2031,3842.6666700000005,5179.6666700000005,1.5,27.545,28.3689,1.0,0.0,1.0,0,11,4,23,0,5,16,1
94801,315000,109884,62,29012858,56582,78287,24742,0.057999999999999996,61750,47700,1621,541,31210,2786.0,32.8,0.115,0.066,0.168,0.07200000000000001,10374,379900,7.77,39.47,94801,1918,1,0,0,0,1,1.0,1.0,0,4294,980,4233.85714,4744.42857,0.71429,15.122860000000001,18.659329999999997,1.0,0.0,1.0,5,10,2,39,5,5,14,2
95401,375000,179701,25,53419794,75290,100021,36399,0.081,45536,59677,1702,1102,38839,1883.0,37.4,0.163,0.105,0.081,0.05,14447,470700,3.68,22.26,95401,1986,1,0,0,0,3,2.5,0.8333,1,910,1176,3247.2,5057.8,1.6,34.553000000000004,34.15302,1.0,0.0,1.0,0,31,4,51,12,15,30,7
93063,363000,125842,48,85371518,96400,117098,41018,0.1271,78500,49493,1985,2407,56458,1713.0,41.7,0.218,0.098,0.045,0.044000000000000004,19631,567500,1.11,12.78,93063,1972,0,1,0,0,2,1.5,0.75,2,653,912,2394.33333,5179.6666700000005,3.0,57.975,56.00852,1.0,0.0,1.0,1,128,5,196,34,47,46,13
92373,582500,71198,124,105501970,78484,110297,43028,0.135,26860,54474,1883,1710,33353,819.0,39.3,0.2471,0.253,0.055999999999999994,0.045,14365,456400,2.09,40.36,92373,1980,1,0,0,0,3,2.0,0.6667,0,10000,1940,1403.0,4827.57143,3.71429,73.63,71.05744,1.0,1.0,1.0,1,38,5,37,20,16,9,8
92129,1150000,1409573,2,36406553,125250,148479,50304,0.2559,80234,79299,1680,4618,54762,3896.0,39.3,0.3518,0.27,0.042,0.051,18457,722200,3.81,19.59,92129,1986,1,0,0,0,5,3.0,0.6,2,10454,2617,244.3,4808.6,5.0,94.73200000000001,94.66764,1.0,1.0,1.0,0,25,0,48,4,5,7,1
94085,1530000,152770,36,9042125,127774,161294,60606,0.267,82500,59712,636,2246,23223,6652.0,32.6,0.24600000000000002,0.281,0.047,0.03,8878,1000500,1.12,15.77,94085,2011,0,1,0,0,4,3.5,0.875,2,588,1882,2585.33333,4764.3333299999995,2.0,44.85667,39.68298,1.0,1.0,0.0,2,14,1,28,3,4,8,0
92506,665000,326414,12,41955292,98111,121056,40543,0.1489,77546,82060,1638,2185,46241,2854.0,38.7,0.1791,0.1841,0.055,0.057999999999999996,15414,439000,4.33,30.88,92506,1988,1,0,0,0,4,3.0,0.75,3,10019,2430,2110.16667,4155.0,2.33333,43.90167,39.54905,1.0,1.0,1.0,1,26,1,34,8,9,8,3
95121,1200000,1027690,3,11472964,106394,128274,35138,0.1891,37500,78333,1037,1846,37531,8470.0,40.5,0.2241,0.09300000000000001,0.076,0.05,9946,707000,3.21,24.34,95121,1980,1,0,0,0,4,2.5,0.625,2,9200,2095,1953.0,5382.777779999999,3.44444,65.66111,63.58935,1.0,0.0,1.0,0,26,0,54,9,12,27,5
92887,1007777,67725,129,24726678,139872,174601,60719,0.295,58750,96500,377,2019,20012,2096.0,45.2,0.376,0.23,0.036000000000000004,0.035,7029,891500,0.66,10.37,92887,1989,1,0,0,0,5,3.0,0.6,3,7500,2989,599.5,5789.0,4.5,89.645,90.11501,1.0,0.0,0.0,0,19,1,43,8,10,9,0
94015,1150000,106677,65,14894698,95541,118781,39278,0.156,37589,72272,2134,3175,65041,11310.0,39.8,0.309,0.092,0.044000000000000004,0.055999999999999994,21058,821900,1.84,15.95,94015,1956,1,0,0,0,3,1.0,0.3333,2,3162,1438,1944.4,4808.6,3.2,61.81,58.33139,1.0,1.0,1.0,3,12,0,14,2,7,11,1
95340,289000,82662,102,102899941,55470,81933,28890,0.084,30150,65198,2811,989,35827,902.0,32.6,0.1321,0.114,0.165,0.1589,12654,272800,6.99,32.25,95340,1961,1,0,0,0,3,2.0,0.6667,0,8276,1589,3008.66667,4699.6666700000005,1.77778,35.91778,34.29407,1.0,1.0,1.0,1,83,4,121,27,21,28,13
92021,400000,103186,72,76997639,58414,77609,26388,0.052000000000000005,42125,47412,4471,1170,70148,2360.0,34.7,0.1329,0.051,0.141,0.071,23340,418400,3.18,21.9,92021,1978,0,1,0,0,2,1.0,0.5,1,3999,960,2254.42857,4388.42857,2.1428599999999998,45.801429999999996,44.129940000000005,1.0,1.0,1.0,0,45,0,75,9,20,16,10
92614,1098000,273157,14,11483160,104021,127999,49060,0.1641,18008,75452,1255,1655,27187,6132.0,35.0,0.414,0.257,0.075,0.045,10764,746500,0.49,12.53,92614,1985,1,0,0,0,3,2.5,0.8333,2,3400,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,31,6,5,15,1
92692,638000,95516,78,25516944,117828,144437,54715,0.223,54000,78814,1595,3884,46800,4750.0,47.3,0.3318,0.1941,0.040999999999999995,0.051,18437,722500,0.73,8.9,92692,1976,1,0,0,0,2,2.0,1.0,2,3478,1450,615.0,4388.42857,4.28571,86.70571,86.13614,1.0,1.0,1.0,0,58,0,96,23,30,17,6
92126,752000,1409573,2,32683242,96915,112829,37081,0.1,62708,71057,2226,2515,82658,6550.0,34.5,0.295,0.153,0.052000000000000005,0.045,25812,547100,3.81,19.59,92126,1972,1,0,0,0,4,2.5,0.625,2,5000,2138,728.71429,4827.57143,4.57143,85.79714,85.34461,1.0,1.0,1.0,0,28,0,51,1,11,28,1
91732,740000,115517,53,11956829,51268,67194,18709,0.025,46520,41604,3291,397,62905,13624.0,36.0,0.111,0.023,0.1421,0.055,16558,465200,2.87,19.04,91732,2006,1,0,0,0,5,4.0,0.8,0,3813,2360,2470.2,4443.0,2.2,43.099,39.80206,1.0,1.0,1.0,2,25,4,35,7,8,11,8
91784,729900,76596,116,23598843,130421,155319,54441,0.2109,16630,88967,583,1905,26090,2864.0,46.5,0.276,0.19,0.033,0.027000000000000003,9235,636700,2.24,28.57,91784,1976,1,0,0,0,3,2.0,0.6667,3,18700,2044,679.3333299999999,4764.3333299999995,4.0,85.48,85.37276,1.0,1.0,0.0,1,83,5,131,32,21,28,10
90047,720000,3966936,1,12252022,52605,66946,25360,0.028999999999999998,25951,45453,4710,512,51411,10860.0,38.4,0.10099999999999999,0.052000000000000005,0.11699999999999999,0.085,18802,433700,4.91,21.28,90047,1927,1,0,0,0,3,2.0,0.6667,2,5676,1588,1561.0,2249.4,1.6,31.134,28.225720000000003,0.0,1.0,1.0,0,21,3,38,3,2,3,0
91801,425000,84647,99,11286776,60519,85655,32971,0.07400000000000001,45536,34099,4418,1480,54768,12570.0,40.3,0.252,0.124,0.09699999999999999,0.045,21501,611900,1.98,20.52,91801,1989,0,1,0,0,3,3.0,1.0,0,9585,1211,1647.75,3961.0,3.0,54.7575,51.91814,1.0,0.0,1.0,0,37,2,38,9,7,42,5
95926,360000,94529,81,19815709,49520,73632,28547,0.06,14095,53457,4304,893,40000,5228.0,27.6,0.23399999999999999,0.1489,0.1421,0.08900000000000001,16834,332600,3.84,36.28,95926,1935,1,0,0,0,2,1.0,0.5,1,7405,1058,2098.0,4155.0,2.66667,54.895,52.57642,1.0,1.0,1.0,8,77,3,112,39,20,62,22
92831,888000,139611,42,15476266,70725,95826,33436,0.08900000000000001,25000,70211,1969,1102,37359,6252.0,29.1,0.2742,0.155,0.07200000000000001,0.073,13338,643600,2.42,22.92,92831,1995,1,0,0,0,3,2.5,0.8333,2,5016,2380,2177.14286,4305.28571,2.28571,44.044290000000004,42.1151,1.0,1.0,1.0,0,29,0,52,14,11,35,8
94587,465000,74722,119,51076950,114681,133752,41447,0.2059,142750,70687,1545,4491,74722,3788.0,38.4,0.257,0.146,0.03,0.034,22903,765500,2.83,21.86,94587,1972,0,1,0,0,2,1.0,0.5,0,6100,810,1742.625,4563.5,3.25,61.89,58.8054,1.0,1.0,1.0,4,107,6,166,28,35,57,8
92882,255000,166972,31,66654080,80424,97751,30493,0.09300000000000001,35909,51851,2768,1989,73250,2846.0,35.1,0.182,0.077,0.079,0.054000000000000006,21936,463600,1.06,21.35,92882,1972,0,1,0,0,1,1.0,1.0,0,657,680,1340.2857099999999,4388.42857,3.5714300000000003,70.17,66.68267,1.0,1.0,1.0,0,45,0,53,13,23,11,5
92880,610000,166972,31,64372560,107076,127147,33721,0.153,30444,60915,1365,2656,69656,2802.0,33.3,0.235,0.12,0.049,0.049,18250,549300,1.06,21.35,92880,2001,1,0,0,0,5,3.0,0.6,0,7841,2832,1033.875,4179.25,3.625,72.215,70.8603,1.0,1.0,1.0,0,42,1,76,11,2,17,1
92683,834900,91137,87,25909717,62617,89346,28692,0.087,38088,40401,6108,2394,91105,9100.0,41.8,0.1959,0.07400000000000001,0.134,0.053,28494,603800,2.1,23.97,92683,1976,1,0,0,0,4,2.0,0.5,2,6000,1700,1502.1666699999998,4667.3333299999995,3.33333,69.84167,66.66718,1.0,1.0,1.0,12,63,1,111,12,11,50,9
92009,577000,114253,55,32962715,138078,179020,64650,0.309,53115,86806,813,5120,46612,3662.0,42.8,0.364,0.26899999999999996,0.027000000000000003,0.049,17385,870400,1.82,15.41,92009,2002,0,1,0,0,3,3.0,1.0,2,10849,1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,25,0,52,7,10,9,4
95610,600000,87373,94,20274576,61461,77567,30925,0.037000000000000005,38125,53346,2919,668,46305,5916.0,36.5,0.1589,0.055,0.083,0.062,18589,331400,4.54,31.38,95610,1980,1,0,0,0,4,3.0,0.75,2,10019,2418,3445.4,5057.8,1.8,32.046,30.54628,1.0,0.0,1.0,2,42,0,63,6,10,21,6
95993,365000,66516,133,221544746,69019,93435,31433,0.069,45788,61307,1652,845,37077,433.5,37.8,0.14300000000000002,0.086,0.105,0.076,12681,316700,3.4,25.93,95993,1983,1,0,0,0,3,2.0,0.6667,2,8276,1834,2375.28571,4744.42857,2.28571,47.552859999999995,46.939370000000004,1.0,0.0,1.0,0,46,0,81,10,12,15,6
94606,780000,425097,8,5924351,56129,77272,32420,0.061,40952,28575,3650,928,38220,16700.0,36.6,0.24100000000000002,0.126,0.1589,0.07400000000000001,16487,548600,16.85,59.43,94606,1921,1,0,0,0,3,1.0,0.3333,0,3120,1196,2912.22222,4293.44444,1.55556,32.74556,33.68893,1.0,1.0,1.0,0,3,0,14,1,7,15,0
94080,1050000,67408,131,26788702,105600,129525,43106,0.188,97100,71881,1939,4039,67600,6536.0,40.3,0.265,0.092,0.039,0.028999999999999998,22282,843600,2.34,19.07,94080,1948,1,0,0,0,2,1.0,0.5,0,4500,990,2216.66667,4058.0,2.5,46.80833,44.24685,1.0,1.0,1.0,1,49,0,80,2,16,40,2
92103,471000,1409573,2,9755531,78720,111680,60318,0.122,39853,57641,2835,2235,34700,9220.0,40.2,0.354,0.2842,0.028999999999999998,0.037000000000000005,20158,774700,3.81,19.59,92103,1972,0,1,0,0,2,2.0,1.0,1,7500,875,1139.0,5174.2,3.8,75.768,73.8177,1.0,1.0,0.0,0,3,0,3,3,4,6,1
90745,632000,92079,83,21515116,80176,97137,27395,0.079,50136,55691,1838,1175,56930,6852.0,38.7,0.226,0.047,0.07200000000000001,0.057999999999999996,15439,445100,3.65,22.79,90745,1952,1,0,0,0,3,2.0,0.6667,0,4623,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24,0,53,3,6,22,4
91104,867000,141258,40,9856461,77919,109067,39342,0.156,50464,45405,2574,2055,37874,9950.0,40.5,0.257,0.188,0.094,0.043,13972,744000,2.81,24.71,91104,1926,1,0,0,0,2,2.0,1.0,0,7179,1203,2944.66667,4570.3333299999995,2.0,43.65333,42.25562,1.0,0.0,1.0,0,16,14,35,13,4,8,0
94611,1308000,425097,8,27357586,129576,181251,81936,0.3171,80625,83958,2113,5469,38975,3690.0,44.9,0.3718,0.3682,0.018000000000000002,0.033,17841,1109200,16.85,59.43,94611,1910,1,0,0,0,3,2.0,0.6667,1,2531,2044,1441.5,4490.75,3.125,61.97875,61.10311,1.0,1.0,1.0,0,27,1,28,10,17,11,6
94103,1125000,874961,4,3518233,75764,128009,68455,0.1959,96806,13390,4360,3087,30703,22610.0,36.9,0.34,0.192,0.10300000000000001,0.032,18147,901300,7.95,53.03,94103,1908,1,0,0,0,1,3.0,3.0,0,1938,1700,4755.5,5789.0,1.0,17.85,20.56379,1.0,0.0,0.0,0,1,0,5,1,3,20,0
94115,1290000,874961,4,2889800,123037,174293,89097,0.31,147115,41118,3102,5287,34604,31000.0,37.0,0.41100000000000003,0.297,0.055999999999999994,0.035,19323,1378400,7.95,53.03,94115,1890,0,1,0,0,3,1.0,0.3333,0,3438,1495,1770.4,3828.2,2.8,56.558,54.25065,1.0,1.0,1.0,0,6,2,9,3,4,15,1
94595,350000,69567,126,13933907,76583,114791,62844,0.158,68758,59384,1182,1544,18117,3368.0,68.2,0.3682,0.27699999999999997,0.02,0.038,10402,592400,1.1,36.1,94595,1964,0,1,0,0,1,1.0,1.0,0,10000,842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,26,6,5,10,1
90027,3000000,3966936,1,21066614,66947,103501,52257,0.1,40000,28833,4858,2162,44770,5504.0,38.1,0.35700000000000004,0.1891,0.086,0.06,23899,1146900,4.91,21.28,90027,1920,1,0,0,0,4,4.0,1.0,2,21567,3351,878.66667,4570.3333299999995,4.33333,79.98666999999999,78.22248,1.0,0.0,1.0,0,21,7,28,18,25,40,1
90713,794500,80292,107,8790090,102970,114497,38350,0.11599999999999999,54407,52845,932,1057,28202,8310.0,39.1,0.2009,0.109,0.040999999999999995,0.055999999999999994,9363,593600,2.48,21.34,90713,1950,1,0,0,0,3,2.0,0.6667,2,5170,1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,4,0,0,3,0
90024,1875000,3966936,1,7605358,65855,135393,46935,0.18,11634,95058,4474,2972,51627,17580.0,22.6,0.336,0.39,0.079,0.079,19519,1184100,4.91,21.28,90024,1947,1,0,0,0,3,3.5,1.1667,0,6835,2215,494.0,4764.3333299999995,4.33333,83.90333000000001,81.07223,1.0,1.0,0.0,0,9,0,20,4,5,11,1
95117,1510000,1027690,3,6649501,95726,133001,48809,0.192,83611,49375,1483,2078,30369,11830.0,35.1,0.259,0.1741,0.063,0.046,11544,1006000,3.21,24.34,95117,1960,1,0,0,0,3,2.0,0.6667,2,7863,1571,2254.0,4875.0,2.25,47.6,45.14053,1.0,0.0,1.0,2,30,1,51,5,6,33,2
92707,455000,332794,11,12956927,77505,90005,22208,0.047,42742,61901,1553,655,60831,12160.0,31.8,0.113,0.035,0.1071,0.044000000000000004,14195,472100,3.74,17.19,92707,1972,0,1,0,0,3,1.5,0.5,2,6175,1052,3175.5,4106.5,1.125,22.6675,23.33129,1.0,1.0,1.0,0,20,2,50,9,9,42,9
91731,505000,115517,53,9881410,42293,56416,16913,0.013999999999999999,44792,30793,2467,119,30222,7920.0,34.8,0.096,0.022000000000000002,0.193,0.08,8805,450300,2.87,19.04,91731,1950,1,0,0,0,5,1.0,0.2,0,10212,1468,2364.83333,5179.6666700000005,2.83333,55.893330000000006,51.84594,1.0,0.0,1.0,0,16,1,23,3,2,11,3
93728,217000,525010,5,7922026,36197,50519,18596,0.017,25842,27941,1940,101,16574,5420.0,30.2,0.10800000000000001,0.047,0.23199999999999998,0.141,6309,165100,4.64,41.12,93728,1924,1,0,0,0,3,1.0,0.3333,0,6350,1488,4999.25,5789.0,0.5,13.6425,17.3262,1.0,0.0,0.0,0,4,6,15,2,2,10,1
90042,1134500,3966936,1,12036777,64267,87211,30575,0.078,30776,38672,3891,1641,63193,13600.0,35.8,0.213,0.11,0.113,0.068,22061,627200,4.91,21.28,90042,1923,1,0,0,0,3,2.0,0.6667,0,5218,1308,3158.0,4875.0,1.75,37.71125,36.22587,1.0,0.0,1.0,0,16,11,58,3,15,36,1
92131,1215000,1409573,2,65240748,137500,168690,58982,0.303,55662,103182,604,3635,34727,1379.0,40.0,0.373,0.319,0.032,0.044000000000000004,12077,790200,3.81,19.59,92131,1999,1,0,0,0,4,4.0,1.0,2,7144,3235,623.0,5276.6666700000005,4.5,88.795,87.59251,1.0,1.0,0.0,0,11,1,16,3,4,4,1
