zip_code,tag_percentage
90023,"{'Atmosphere': 0.019, 'Community': 0.0571, 'Dog Friendly': 0.0571, 'Family Friendly': 0.0286, 'Freeway Access': 0.0667, 'Friendly': 0.0381, 'Kids': 0.019, 'Neighbors': 0.0286, 'Parks': 0.0476, 'Peaceful': 0.019, 'Beautiful': 0.0381, 'Birds': 0.019, 'Clean': 0.019, 'Historic': 0.0476, 'Landscaping': 0.0095, 'Nature': 0.0095, 'Downtown': 0.0381, 'Food': 0.0667, 'Proximity': 0.0286, 'Sidewalks': 0.019, 'Restaurants': 0.0095, 'Safe': 0.0095, 'Schools': 0.019, 'Urban': 0.0095, 'Walking': 0.0381, 'Running': 0.0286, 'Charm': 0.0095, 'Convenient': 0.019, 'Diversity': 0.0381, 'Gardens': 0.019, 'Green': 0.0095, 'Nice': 0.0095, 'Quaint': 0.0095, 'Quiet': 0.0095, 'Walkability': 0.0095, 'Different': 0.0095, 'Beach': 0.0095, 'Hiking': 0.0095, 'Welcoming': 0.0095, 'Young': 0.0095, 'Architecture': 0.0095, 'Eclectic': 0.0095, 'Events': 0.0095}"
90024,"{'Clean': 0.08, 'Beautiful': 0.06, 'Dog Friendly': 0.1, 'Atmosphere': 0.04, 'Family Friendly': 0.06, 'Peaceful': 0.06, 'Well Maintained': 0.04, 'Convenient': 0.04, 'Pleasant': 0.02, 'Community': 0.04, 'Walking': 0.08, 'Walkability': 0.08, 'Friendly': 0.08, 'Restaurants': 0.06, 'Safe': 0.06, 'Food': 0.04, 'Hiking': 0.02, 'Location': 0.02, 'Diversity': 0.02}"
90025,"{'Dog Friendly': 0.0778, 'Walkability': 0.0889, 'Beautiful': 0.0222, 'Peaceful': 0.0444, 'Clean': 0.0444, 'Family Friendly': 0.0333, 'Friendly': 0.0667, 'Walking': 0.0778, 'Quiet': 0.0111, 'Restaurants': 0.0778, 'Food': 0.0667, 'Parks': 0.0222, 'Convenient': 0.0556, 'Proximity': 0.0111, 'Community': 0.0222, 'Urban': 0.0222, 'Freeway Access': 0.0333, 'Safe': 0.0444, 'Diversity': 0.0222, 'Weather': 0.0222, 'Beach': 0.0222, 'Architecture': 0.0111, 'Atmosphere': 0.0111, 'Bay': 0.0111, 'Charm': 0.0111, 'Creek': 0.0111, 'Downtown': 0.0111, 'Open': 0.0111, 'Welcoming': 0.0222, 'Neighbors': 0.0111}"
90026,"{'Walkability': 0.0842, 'Historic': 0.0263, 'Architecture': 0.0158, 'Restaurants': 0.0842, 'Parks': 0.0474, 'Diversity': 0.0789, 'Food': 0.0895, 'Dog Friendly': 0.0947, 'Walking': 0.0789, 'Friendly': 0.0263, 'Atmosphere': 0.0421, 'Beautiful': 0.0316, 'Hiking': 0.0053, 'Trails': 0.0053, 'Downtown': 0.0316, 'Community': 0.0684, 'Hills': 0.0105, 'Trees': 0.0053, 'Peaceful': 0.0158, 'Nature': 0.0053, 'Eclectic': 0.0158, 'Welcoming': 0.0053, 'Yards': 0.0053, 'Events': 0.0053, 'Freeway Access': 0.0316, 'Neighbors': 0.0105, 'Proximity': 0.0053, 'Convenient': 0.0053, 'Houses': 0.0053, 'Transportation': 0.0053, 'Charm': 0.0211, 'Urban': 0.0105, 'Location': 0.0053, 'Quiet': 0.0053, 'Running': 0.0053, 'Sidewalks': 0.0053, 'Clean': 0.0053}"
90027,"{'Restaurants': 0.0929, 'Parks': 0.0429, 'Walkability': 0.0929, 'Food': 0.0714, 'Walking': 0.1, 'Diversity': 0.0214, 'Friendly': 0.0643, 'Hiking': 0.05, 'Events': 0.0071, 'Urban': 0.0071, 'Hills': 0.0143, 'Dog Friendly': 0.05, 'Neighbors': 0.0071, 'Atmosphere': 0.0571, 'Beautiful': 0.0714, 'Community': 0.0429, 'Architecture': 0.0286, 'Charm': 0.0571, 'Historic': 0.0214, 'Peaceful': 0.0429, 'Privacy': 0.0071, 'Well Maintained': 0.0071, 'Location': 0.0071, 'Convenient': 0.0143, 'Nature': 0.0071, 'Trails': 0.0071, 'Trees': 0.0071}"
90028,"{'Walkability': 0.0702, 'Walking': 0.0702, 'Food': 0.0789, 'Restaurants': 0.0702, 'Freeway Access': 0.0351, 'Atmosphere': 0.0439, 'Location': 0.0263, 'Dog Friendly': 0.0614, 'Friendly': 0.0351, 'Community': 0.0263, 'Historic': 0.0351, 'Events': 0.0614, 'Diversity': 0.0614, 'Hiking': 0.0351, 'Urban': 0.0351, 'Different': 0.0263, 'Mature': 0.0088, 'Parks': 0.0175, 'Convenient': 0.0614, 'Eclectic': 0.0088, 'Architecture': 0.0175, 'Proximity': 0.0175, 'Neighbors': 0.0263, 'Stores': 0.0088, 'Shopping': 0.0175, 'Sidewalks': 0.0088, 'Nice': 0.0088, 'Peaceful': 0.0088, 'Pleasant': 0.0088, 'Privacy': 0.0088}"
90029,"{'Dog Friendly': 0.1, 'Friendly': 0.05, 'Restaurants': 0.0833, 'Schools': 0.0167, 'Diversity': 0.1, 'Food': 0.1, 'Freeway Access': 0.05, 'Hiking': 0.0167, 'Location': 0.0167, 'Running': 0.0167, 'Walking': 0.0833, 'Walkability': 0.0833, 'Community': 0.0833, 'Convenient': 0.05, 'Family Friendly': 0.0167, 'Parks': 0.0167, 'Events': 0.0167, 'Eclectic': 0.0167, 'Atmosphere': 0.0333, 'Proximity': 0.0333, 'Charm': 0.0167}"
90031,"{'River': 0.02, 'Walking': 0.08, 'Dog Friendly': 0.06, 'Community': 0.08, 'Walkability': 0.08, 'Parks': 0.08, 'Location': 0.02, 'Family Friendly': 0.04, 'Freeway Access': 0.08, 'Diversity': 0.08, 'Historic': 0.08, 'Neighbors': 0.04, 'Food': 0.08, 'Transportation': 0.02, 'Urban': 0.02, 'Downtown': 0.04, 'Friendly': 0.04, 'Restaurants': 0.04, 'Architecture': 0.02}"
90032,"{'Walking': 0.0875, 'Dog Friendly': 0.075, 'Food': 0.05, 'Family Friendly': 0.1, 'Hiking': 0.0625, 'Hills': 0.1, 'Neighbors': 0.0625, 'Trees': 0.025, 'Community': 0.075, 'Friendly': 0.0625, 'Peaceful': 0.0625, 'Diversity': 0.075, 'Atmosphere': 0.0125, 'Beautiful': 0.025, 'Restaurants': 0.0125, 'Quiet': 0.0375, 'Historic': 0.0125, 'Schools': 0.0125, 'Convenient': 0.0125, 'Clean': 0.0125, 'Parks': 0.0125, 'Freeway Access': 0.0125}"
90033,"{'Convenient': 0.0333, 'Downtown': 0.05, 'Historic': 0.1, 'Transportation': 0.0333, 'Urban': 0.0667, 'Walkability': 0.05, 'Walking': 0.05, 'Different': 0.0167, 'Diversity': 0.0667, 'Events': 0.0333, 'Food': 0.05, 'Community': 0.0833, 'Freeway Access': 0.0667, 'Friendly': 0.0333, 'Restaurants': 0.0333, 'Neighbors': 0.0167, 'Location': 0.0167, 'Parks': 0.05, 'Dog Friendly': 0.05, 'Kids': 0.0167, 'Beautiful': 0.0167, 'Family Friendly': 0.0167, 'Peaceful': 0.0167, 'Hills': 0.0167, 'View': 0.0167}"
